id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
1008,2017,6,30,2017-06-30,0,0,0,0,0,0,0,0
1009,2017,7,1,2017-07-01,0,0,0,0,0,0,0,0
1010,2017,7,2,2017-07-02,0,0,0,0,0,0,0,0
1011,2017,7,3,2017-07-03,0,0,0,0,0,0,0,0
1012,2017,7,4,2017-07-04,0,0,0,0,0,0,0,0
1013,2017,7,5,2017-07-05,0,0,0,0,0,0,0,0
1014,2017,7,6,2017-07-06,0,0,0,0,0,0,0,0
1015,2017,7,7,2017-07-07,0,0,0,0,0,0,0,0
1016,2017,7,8,2017-07-08,0,0,0,0,0,0,0,0
1017,2017,7,9,2017-07-09,0,0,0,0,0,0,0,0
1018,2017,7,10,2017-07-10,0,0,0,0,0,0,0,0
1019,2017,7,11,2017-07-11,0,0,0,0,0,0,0,0
1020,2017,7,12,2017-07-12,0,0,0,0,0,0,0,0
1021,2017,7,13,2017-07-13,0,0,0,0,0,0,0,0
1022,2017,7,14,2017-07-14,0,0,0,0,0,0,0,0
1023,2017,7,15,2017-07-15,0,0,0,0,0,0,0,0
1024,2017,7,16,2017-07-16,0,0,0,0,0,0,0,0
1025,2017,7,17,2017-07-17,0,0,0,0,0,0,0,0
1026,2017,7,18,2017-07-18,0,0,0,0,0,0,0,0
1027,2017,7,19,2017-07-19,0,0,0,0,0,0,0,0
1028,2017,7,20,2017-07-20,0,0,0,0,0,0,0,0
1029,2017,7,21,2017-07-21,0,0,0,0,0,0,0,0
1030,2017,7,22,2017-07-22,0,0,0,0,0,0,0,0
1031,2017,7,23,2017-07-23,0,0,0,0,0,0,0,0
1032,2017,7,24,2017-07-24,0,0,0,0,0,0,0,0
1033,2017,7,25,2017-07-25,0,0,0,0,0,0,0,0
1034,2017,7,26,2017-07-26,0,0,0,0,0,0,0,0
1035,2017,7,27,2017-07-27,0,0,0,0,0,0,0,0
1036,2017,7,28,2017-07-28,0,0,0,0,0,0,0,0
1037,2017,7,29,2017-07-29,0,0,0,0,0,0,0,0
1038,2017,7,30,2017-07-30,0,0,0,0,0,0,0,0
1039,2017,7,31,2017-07-31,0,0,0,0,0,0,0,0
1040,2017,8,1,2017-08-01,0,0,0,0,0,0,0,0
1041,2017,8,2,2017-08-02,0,0,0,0,0,0,0,0
1042,2017,8,3,2017-08-03,0,0,0,0,0,0,0,0
1043,2017,8,4,2017-08-04,0,0,0,0,0,0,0,0
1044,2017,8,5,2017-08-05,0,0,0,0,0,0,0,0
1045,2017,8,6,2017-08-06,0,0,0,0,0,0,0,0
1046,2017,8,7,2017-08-07,0,0,0,0,0,0,0,0
1047,2017,8,8,2017-08-08,0,0,0,0,0,0,0,0
1048,2017,8,9,2017-08-09,0,0,0,0,0,0,0,0
