site,sow.year,species,tag,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
RID,2016,ll,1355a,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
RID,2016,ll,1356a,no,4,seeded.scarified,1,1,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
RID,2016,ll,1357a,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
RID,2016,ll,1358a,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
RID,2016,ll,1359a,no,4,seeded.scarified,1,1,18,2,1,0,0,0,0,0.10,0.90,0.13,1.00,0.00,0.00,0.00,0.00,20,0.8
RID,2016,ll,1360a,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
RID,2016,ll,1361a,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
RID,2016,ll,1362a,no,1,control,0,0,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
RID,2016,ll,1363a,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
RID,2016,ll,1364a,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
RID,2016,ll,1365a,no,4,seeded.scarified,1,1,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
RID,2016,ll,1366a,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
RID,2016,bs,1347b,no,2,seeded,1,0,19,1,0,0,0,0,0,0.05,0.95,0.06,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1348b,no,4,seeded.scarified,1,1,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1349b,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1350b,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1351b,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1352b,no,4,seeded.scarified,1,1,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1353b,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1354b,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1355b,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1356b,no,4,seeded.scarified,1,1,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1357b,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1358b,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1359b,no,4,seeded.scarified,1,1,19,1,1,1,1,0,0,0.05,0.95,0.06,1.00,1.00,1.00,0.00,0.00,20,0.89
RID,2016,bs,1360b,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1361b,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1362b,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1363b,no,2,seeded,1,0,19,1,1,0,0,0,0,0.05,0.95,0.06,1.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1364b,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
RID,2016,bs,1365b,no,4,seeded.scarified,1,1,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.89
RID,2016,bs,1366b,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.89
TIS,2016,ws,1367,yes,2,seeded,1,0,18,2,1,0,0,0,0,0.10,0.90,0.12,1.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1368,yes,4,seeded.scarified,1,1,16,4,4,2,2,0,0,0.20,0.80,0.25,4.00,2.00,2.00,0.00,0.00,20,0.815
TIS,2016,ws,1369,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1370,yes,3,scarified,0,1,NA,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1371,yes,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1372,yes,4,seeded.scarified,1,1,10,10,9,6,4,4,4,0.50,0.50,0.61,9.00,6.00,4.00,4.00,4.00,20,0.815
TIS,2016,ws,1373,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1374,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1375,yes,4,seeded.scarified,1,1,19,1,1,0,0,0,0,0.05,0.95,0.06,1.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1376,yes,2,seeded,1,0,19,1,1,0,0,0,0,0.05,0.95,0.06,1.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1377,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1378,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1379,yes,4,seeded.scarified,1,1,12,8,6,6,3,3,3,0.40,0.60,0.49,6.00,6.00,3.00,3.00,3.00,20,0.815
TIS,2016,ws,1380,yes,2,seeded,1,0,17,3,2,2,2,1,1,0.15,0.85,0.18,2.00,2.00,2.00,1.00,1.00,20,0.815
TIS,2016,ws,1383,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1384,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1385,yes,2,seeded,1,0,17,3,0,0,0,0,0,0.15,0.85,0.18,0.00,0.00,0.00,0.00,0.00,20,0.815
