Year,1845.1b,1845.1a,1845.2a,1845.2b,1847.1a,1847.1b,1847.2a,1847.2b,1848.1a,1848.1b,1848.2b,1848.2a,1953.1b,1953.1a,1953.2a,1953.2b,1955.1b,1955.1a,1955.2a,1955.2b,1839.1a,1839.1b,1839.2a,1839.2b,1841.1a,1841.1b,1842.1a,1842.1b,1842.2a,1842.2b,1843.1a,1843.1b,1843.2a,1843.2b,1844.1a,1844.1b,1559.1a,1559.1b,1559.2a,1559.2b,1558.1a,1558.1b,1558.2a,1558.2b,1557.1a,1557.1b,1557.2a,1557.2b,1850.1a,1850.1b,1850.2a,1850.2b,1555.1a,1555.1b,1555.2a,1555.2b,1554.1a,1554.1b,1553.1a,1553.1b,1553.2a,1553.2b,1554.2a,1554.2b,1552.1a,1552.1b,1552.2a,1552.2b,1556.1a,1556.1b,1556.2a,1556.2b
1862,,,0.576,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,,,0.161,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,,,0.275,0.29,0.561,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,,,0.409,0.521,0.373,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,,,0.688,0.575,0.306,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,,,0.753,0.799,0.491,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,,,0.626,0.818,1.051,0.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,,,0.465,0.488,0.754,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,0.349,0.453,0.708,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,,,0.307,0.371,0.673,0.554,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,0.235,0.348,0.696,0.412,,,,,,,,,,,,,,,,,,,,,,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,,,0.195,0.254,0.675,0.524,,,,,,,,,,,,,,,,,,,,,,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,0.331,0.205,0.553,0.621,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,0.159,0.176,0.452,0.372,,,,,,,,,,,,,,,,,,,,,0.982,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,,,0.215,0.23,0.478,0.355,,,,,,,,,,,,,,,,,,,,,1.251,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,0.279,0.226,0.525,0.404,,,,,,,,,,,,,,,,,0.246,0.258,,,1.199,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,0.275,0.394,0.375,0.305,,,,,,,,,,,,,,,,,0.273,0.283,,,1.046,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,0.356,0.399,0.336,0.243,,,,,,,,,,,,,,,,,0.475,1.057,,,0.557,0.12,,,,,,,,,,,,,,,,,,,,,,,1.569,,,,,,,,,,,,,,,,,,,,,
1880,,,0.376,0.316,0.359,0.291,,,,0.278,,,,,,,,,,,,,0.493,0.788,,,0.55,0.07,,,,,,,,,,,,,,,,,,,,,,,1.708,,,,,,,,,,,,,,,,,,,,,
1881,,,0.328,0.335,0.246,0.227,,,,0.246,,,,,,,,,,,,,0.817,0.94,,,0.337,0.063,,,,,,,,,,,,,,,,,,,,,,,1.616,1.668,,,,,,,,,,,,,,,,,,,,
1882,,,0.392,0.225,0.068,0.208,,,,0.161,,,,,,,,,,,,,0.969,1.227,,,0.294,0.054,,,,,,,,,,,,,,,,,,,,,,,1.305,1.502,,,,,,,,,,,,,,,,,,,,
1883,,,0.251,0.167,0.208,0.155,,,,0.185,,,,,,,,,,,,,0.916,1.035,,,0.361,0.08000001,,,,,,,,,,,,,,,,,,,,,,,1.301,1.165,,,,,,,,,,,,,,,,,,,,
1884,,,0.274,0.207,0.316,0.143,,,,0.17,,,,,,,,,,,,,0.742,0.945,,,0.419,0.072,,,,,,,,,,,,,,,,,,,,,,,1.222,0.634,,,,,,,,,,,,,,,,,,,,
1885,,,0.277,0.217,0.384,0.163,,,,0.192,,,,,,,,,,,,,0.354,0.89,,,0.299,0.148,,,,,,,,,,,,,,,,,,,,,,,1.204,1.034,,,,,,,,,,,,,,,,,,,,
1886,,,0.234,0.26,0.64,0.241,,,,0.161,,,,,,,,,,,,,0.278,0.873,,,0.498,0.136,,,,,,,,,,,,,,,,,,,,,,,0.949,1.11,,,,,,,,,,,,,,,,,,,,
1887,,,0.271,0.169,0.471,0.237,,,,0.331,,,,,,,,,,,,,0.226,0.4,,,0.222,0.279,,,,,,,,,,,,,,,,,,,,,,,0.851,1.972,,,,,,,,,,,,,,,,,,,,
1888,,,0.225,0.127,0.466,0.189,,,,0.335,0.332,0.285,,,,,,,,,,,0.319,0.497,,,0.404,0.245,,,,,,,,,,,,,,,,,,,,,,,0.751,1.076,,,,,,,,,,,,,,,,,,,,
1889,0.788,1.59,0.206,0.154,0.481,0.15,,,,0.35,0.302,0.4,,,,,,,,,,,0.387,0.432,,,0.422,0.151,,,,,,,,,,,,,,,,,,,,,,,0.944,1.145,,,,,,,,,,,,,,,,,,,,
1890,0.669,0.684,0.262,0.145,0.401,0.136,,,,0.428,0.272,0.129,,,,,,,,,,,0.453,0.491,,,0.5050001,0.207,,,,,,,,,,,,,,,,,,,,,,,0.694,1.117,,,,,,,,,,,,,,,,,,,,
1891,0.526,0.425,0.276,0.072,0.378,0.121,,,,0.417,0.332,0.221,,,,,,,,,,,0.466,0.543,,,0.494,0.127,,,,,,,,,,,,,,,,,,,,,2.331,3.348,0.574,1.077,,,,,,,,,,,,,,,,,,,,
1892,0.5050001,0.258,0.223,0.094,0.393,0.134,,,,0.303,0.33,0.278,,,,,,,,,,,0.399,0.556,,,0.517,0.108,,,,,,,,,,,,,,,,,,,,,1.534,3.188,0.556,1.108,,,,,,,,,,,,,,,,,,,,
1893,0.345,0.245,0.231,0.106,0.515,0.152,,,,0.475,0.247,0.236,,,,,,,,,,,0.243,0.69,,,0.664,0.089,,,,,,,,,,,,,,,,,,,,,1.264,2.131,0.456,1.164,,,,,,,,,,,,,,,,,,,,
1894,0.407,0.494,0.248,0.135,0.64,0.211,,,,0.462,0.35,0.221,,,,,,,,,,,0.342,0.747,,,0.605,0.101,,,,,,,,,,,,,,,,,,,,,1.17,2.543,0.592,1.253,,,,,,,,,,,,,,,,,,,,
1895,0.363,0.457,0.26,0.106,0.569,0.235,,,,0.469,0.292,0.225,,,,,,,,,,,0.264,0.758,,,0.648,0.109,,,,,,,,,,,,,,,,,,,,,1.016,2.171,0.643,1.203,,,,,,,,,,,,,,,,,,,,
1896,0.41,0.273,0.209,0.085,0.57,0.158,,,,0.608,0.352,0.294,,,,,,,,,,,0.248,0.8270001,,,0.7,0.124,,,,,,,,,,,,,,,,,,,,,0.9520001,2,0.511,1.328,,,,,,,,,,,,,,,,,,,,
1897,0.38,0.274,0.136,0.118,0.702,0.151,,,,0.458,0.289,0.284,,,,,,,,,,,0.318,0.802,,,0.641,0.126,,,,,,,,,,,,,,,,,,,,,0.9350001,2.029,0.5510001,1.596,,,,,,,,,,,,,,,,,,,,
1898,0.216,0.2,0.13,0.085,0.64,0.124,,,,0.442,0.314,0.336,,,,,,,,,,,0.219,0.815,,,0.666,0.158,,,,,,,,,,,,,,,,,,,,,0.907,1.739,0.613,1.626,,,,,,,,,,,,,,,,,,,,
1899,0.172,0.278,0.083,0.101,0.582,0.136,,,,0.392,0.311,0.369,,,,,,,,,,,0.242,1.183,,,0.593,0.186,,,,,,,,,,,,,,,,,,,,,0.7780001,1.467,0.643,2.037,,,,,,,,,,,,,,,,,,,,
1900,0.089,0.148,0.149,0.111,0.492,0.111,,,,0.592,0.311,0.497,,,,,,,,,,,0.444,1.066,,,0.717,0.238,,,,,,,,,,,,,,,,,,,,,0.9350001,1.73,0.577,1.316,,,,,,,,,,,,,,,,,,,,
1901,0.181,0.191,0.254,0.076,0.704,0.114,,,,0.512,0.343,0.479,,,,,,,,,0.286,,0.754,1.408,,,0.545,0.312,,1.475,,,,,,,,,,,,,,,,,,,0.741,1.005,0.537,1.27,,,,,,,,,,,,,,,,,,,,
1902,0.237,0.188,0.177,0.08000001,1.169,0.164,,,,0.398,0.303,0.397,,,,,,,,,0.325,,1.06,1.237,,,0.497,0.243,,1.038,,,,,,,,,,,,,,,,,,,0.9350001,0.878,0.661,1.561,,,,,,,,,,,,,,,,,,,,
1903,0.228,0.239,0.153,0.129,1.112,0.169,,,,0.439,0.3,0.447,,,,,,,,,0.411,,0.82,0.702,,,0.602,0.276,1.679,1.231,,,,,,,,,,,,,,,,,,,0.871,0.627,0.871,1.048,,,,,,,,,,,,,,,,,,,,
1904,0.239,0.205,0.176,0.118,1.213,0.173,,,,0.459,0.205,0.363,,,,,,,,,0.573,,0.8560001,0.72,,,0.547,0.202,1.068,0.44,,,,,,,,,,,,,,,,,,,0.626,0.537,0.552,0.678,,,,,,,,,,,,,,,,,,,,
1905,0.199,0.197,0.12,0.054,1.35,0.148,,,,0.256,0.191,0.317,,,,,,,,,0.555,,0.7780001,1.025,,,0.5050001,0.172,1.224,0.557,,,,,,,,,,,,,,,,,,,0.623,0.382,0.49,0.848,,,,,,,,,,,,,,,,,,,,
1906,0.124,0.331,0.097,0.069,1.325,0.111,,,,0.232,0.227,0.301,,,,,,,,,0.345,,1.138,0.774,,,0.644,0.121,0.916,0.683,,,,,,,,,,,,,,,,,,,0.699,0.452,0.508,0.678,,,,,,,,,,,,,,,,,,,,
1907,0.128,0.436,0.137,0.056,1.065,0.141,,2.45,,0.267,0.153,0.162,,,,,,,,,0.279,,1.022,0.753,,,0.433,0.09,0.915,0.464,,,,,,,,,,,,,,,,,,,0.476,0.431,0.187,0.714,,,,,,,,,,,,,,,,,,,,
1908,0.093,0.436,0.214,0.055,1.088,0.074,,2.492,,0.365,0.121,0.096,,,,,,,,,0.313,,0.91,0.9810001,,,0.455,0.081,0.912,0.315,,,,,,,,,,,,,,,,,,,0.401,0.433,0.274,0.679,,,,,,,,,,,,,,,,,,,,
1909,0.1,0.455,0.252,0.051,1.079,0.099,,1.582,,0.316,0.173,0.263,,,,,,,,,0.436,,1.24,1.256,,,0.737,0.033,0.717,0.322,,,,,,,,,,,,,,,,,,,0.392,0.309,0.179,0.491,,,,,,,,,,,,,,,,,,,,
1910,0.172,0.229,0.404,0.108,0.936,0.227,,1.564,,0.32,0.202,0.355,,,,0.261,,,,,0.393,,1.176,1.034,,,0.733,0.052,0.713,0.371,,,,,,,,,,,,,,,,,,,0.842,0.43,0.404,0.468,,,,,,,,,,,,,,,,,,,,
1911,0.194,0.303,0.392,0.102,1.089,0.312,,1.707,,0.24,0.208,0.385,,,,0.235,,,,,0.293,,0.672,0.816,,,0.746,0.131,0.784,0.399,,,,,,,,,,,,,,,,,,,0.845,0.438,0.5050001,0.458,,,,,,,,,,,,,,,,,,,,
1912,0.142,0.318,0.398,0.048,1.362,0.306,2.463,1.447,,0.229,0.129,0.391,,,,0.217,,,,,0.135,,0.619,0.747,,,0.539,0.154,0.582,0.337,,,,,,,,,,,,,,,,,,,0.68,0.362,0.463,0.457,,,,,,,,,,,,,,,,,,,,
1913,0.128,0.411,0.26,0.095,1.239,0.359,1.71,1.332,,0.122,0.157,0.372,,,0.249,0.065,,,,,0.056,,0.35,0.567,,,0.577,0.214,0.417,0.302,,,,,,,,,,,,,,,,,,,0.609,0.507,0.478,0.532,,,,,,,,,,,,,,,,,,,,
1914,0.132,0.225,0.233,0.125,0.995,0.281,1.589,1.174,0.252,0.3,0.157,0.376,,,0.224,0.143,,,,,0.059,,0.395,0.8520001,,,0.51,0.179,0.4,0.254,,,,,,,,,,,,,,,,,,,0.62,0.354,0.349,0.5280001,,,,,,,,,,,,,,,,,,,,
1915,0.144,0.289,0.25,0.069,0.745,0.295,1.143,0.958,0.265,0.359,0.238,0.439,,,0.203,0.154,,,,,0.061,,0.405,0.597,,,0.589,0.11,0.515,0.198,,,,,,,,,,,,,,,,,,,0.634,0.295,0.38,0.457,,,,,,,,,,,,,,,,,,,,
1916,0.148,0.336,0.228,0.076,1.138,0.337,0.96,0.736,0.19,0.283,0.172,0.375,,,0.155,0.067,,,,,0.147,,0.666,0.627,,,0.663,0.086,0.73,0.274,,,,,,,,,,,,,,,2.013,,,,0.648,0.315,0.378,0.531,,,,,,,,,,,,,,,,,,,,
1917,0.134,0.253,0.247,0.07300001,1.257,0.308,1.175,0.799,0.229,0.197,0.147,0.285,,,0.212,0.04,,,,,0.178,,0.819,0.521,,,0.489,0.092,0.596,0.355,,,,,,,,,,,,,,,1.539,,,,0.658,0.31,0.454,0.389,,,,,,,,,,,,,,,,,,,,
1918,0.22,0.201,0.303,0.101,1.07,0.284,1.236,0.681,0.176,0.206,0.148,0.272,,,0.166,0.042,,,,,0.233,,0.762,0.5840001,,,0.422,0.118,0.723,0.299,,,,,,,,,,,,,,,1.412,,,,0.583,0.261,0.359,0.395,,,,,,,,,,,,,,,,,,,,
1919,0.259,0.229,0.347,0.146,1.328,0.312,1.067,0.519,0.244,0.195,0.11,0.272,,,0.028,0.069,,,,,0.462,,0.845,0.659,,,0.51,0.123,0.644,0.549,,,,,,,,,,,,,,,1.175,,,,1.253,0.282,0.693,0.484,,,,,,,,,,,,,,,,,,,,
1920,0.208,0.203,0.562,0.126,1.242,0.363,0.837,0.534,0.187,0.199,0.122,0.212,,,0.035,0.037,,,,,0.599,28.108,1.276,0.507,,,0.483,0.082,0.621,0.387,,,,,,,,,,,,,,,0.724,,,,0.79,0.425,0.811,0.428,,,,,,,,,,,,,,,,,,,,
1921,0.433,0.251,0.39,0.23,0.829,0.303,0.796,0.436,0.345,0.288,0.123,0.361,,,0.037,0.038,,,,,1.777,2.375,1.629,0.527,,,0.56,0.127,0.932,0.543,,,,,,,,,,,,,,,0.356,2.378,,,0.932,0.469,0.953,0.666,,,,,,,,,,,,,,,,,,,,
1922,0.344,0.195,0.495,0.179,1.017,0.327,0.979,0.506,0.679,0.256,0.132,0.454,,,0.024,0.05,,,,,1.842,1.914,1.198,0.395,,,0.546,0.147,0.822,0.406,,,,,,,,,,,,,,,0.316,2.124,,,0.6760001,0.334,0.583,0.6,,,,,,,,,,,,,,,,,,,,
1923,0.359,0.315,0.406,0.204,1.163,0.339,0.921,0.514,0.541,0.295,0.109,0.514,,,0.036,0.057,,,,,3.033,1.521,1.181,0.411,,,0.546,0.234,0.774,0.394,,,,,,,,,,,,,,,0.683,1.551,,,0.606,0.42,0.558,0.733,,,,,,,,,,,,,,,,,,,,
1924,0.468,0.271,0.409,0.266,1.137,0.217,0.794,0.621,0.448,0.135,0.127,0.656,,,0.051,0.077,,,,,2.258,1.398,1.21,0.208,,,0.556,0.269,0.688,0.48,,,,,,,,,,,,,,,0.9260001,1.345,,,0.587,0.325,0.536,0.707,,,,,,,,,,,,,,,,,,,,
1925,0.37,0.213,0.482,0.21,1.28,0.233,1.019,0.545,0.227,0.198,0.085,0.315,,,0.036,0.155,,,,,1.233,1.016,0.954,0.16,,,0.705,0.327,0.603,0.29,,,,,,,,,,,,,,,0.459,1.013,,,0.322,0.278,0.279,0.602,,,,,,,,,,,,,,,,,,,,
1926,0.457,0.269,0.446,0.125,1.214,0.119,1.166,0.362,0.206,0.188,0.085,0.272,,,0.03,0.14,,,,,1.171,0.5280001,0.934,0.197,,,0.557,0.432,0.47,0.239,,,,,,,,,,,,,,,0.373,0.808,,,0.211,0.227,0.271,0.633,,,,,,,,,,,,,,,,,,,,
1927,0.509,0.264,0.398,0.176,0.917,0.082,0.917,0.137,0.213,0.248,0.146,0.404,,,0.033,0.121,,,,,1.701,0.969,1.142,0.308,,,0.479,0.428,0.559,0.295,,,,,,,,,,,,,,,0.207,0.94,,,0.213,0.179,0.294,0.34,,,,,,,,,,,,,,,,,,,,
1928,0.517,0.229,0.44,0.213,0.929,0.067,0.577,0.097,0.314,0.253,0.166,0.356,,,0.051,0.186,,,,,2.343,1.14,1.387,0.271,0.677,0.639,0.489,0.194,0.498,0.365,,,,,,,,,,,,,,,0.262,0.871,,,0.38,0.47,0.436,0.415,,,,,,,,,,,,,,,,,,,,
1929,0.498,0.223,0.547,0.177,0.953,0.082,0.671,0.142,0.22,0.2,0.164,0.267,,,0.033,0.129,,,,,1.84,1.055,1.051,0.313,0.398,0.319,0.5050001,0.171,0.501,0.374,,,,,,,,,,,,,,,0.181,0.8600001,,,0.301,0.416,0.397,0.438,,,,,,,,,,,,,,,,,,,,
1930,0.662,0.226,0.515,0.19,1.076,0.103,0.724,0.152,0.15,0.156,0.226,0.31,,,0.033,0.07,,,,,1.5,0.994,1.378,0.17,0.591,1.089,0.517,0.205,0.643,0.491,,,,,,,,,,,,,,,0.207,0.894,,,0.359,0.486,0.5840001,0.708,,,,,0.215,0.239,,,,,,,,,,,,,,
1931,0.682,0.297,0.617,0.099,0.846,0.07,0.784,0.173,0.282,0.224,0.141,0.417,,,0.117,0.14,,,,,1.329,0.412,0.823,0.215,0.362,0.547,0.186,0.192,0.252,0.13,,,,,,,,,,,,,,,0.384,0.997,,,0.302,0.476,0.522,0.597,,,,,0.143,0.108,,,,,,,,,,,,,,
1932,0.788,0.287,0.684,0.186,1.192,0.088,0.665,0.148,0.24,0.299,0.267,0.311,,,0.114,0.183,,,,,1.455,0.735,0.77,0.157,0.176,0.155,0.639,0.275,0.317,0.263,,,,,,,,,,,,,,,0.453,0.865,,,0.44,0.417,0.398,0.608,,,,,0.213,0.133,,,,,,,,,,,,,,
1933,0.428,0.253,0.76,0.093,1.14,0.07,0.4,0.158,0.267,0.227,0.322,0.523,0.208,,0.117,0.294,,,,,1.473,0.477,1.297,0.225,0.249,0.249,0.525,0.042,0.435,0.218,,,,,,,,,,,,,,,0.306,0.8100001,,,0.445,0.513,0.333,0.533,,,,,0.29,0.123,,,,,,,,,,,,,,
1934,0.603,0.218,0.445,0.159,1.129,0.103,0.302,0.119,0.272,0.344,0.365,0.416,0.112,,0.145,0.164,,,,,1.593,0.748,1.544,0.279,0.478,0.277,0.743,0.108,0.532,0.331,,,,,,,,,,,,,,,0.249,0.92,2.536,2.311,0.643,0.75,0.435,0.565,,,,,0.314,0.209,,,,,,,,,,,,,,
1935,0.513,0.135,0.53,0.226,1.045,0.147,0.238,0.138,0.206,0.356,0.317,0.651,0.09100001,,0.168,0.09,,,,,1.572,0.694,1.668,0.185,0.618,0.266,0.773,0.169,0.567,0.36,,,,,,,,,,,,,,,0.357,0.9310001,1.869,1.911,1.049,0.942,0.685,0.456,,,,,0.19,0.15,,,,,,,,,,,,,,
1936,0.468,0.131,0.55,0.208,1.01,0.127,0.327,0.215,0.125,0.306,0.196,0.69,0.08000001,,0.102,0.078,,,,,1.159,0.624,1.716,0.198,0.656,0.232,0.775,0.269,0.39,0.499,,,,,,,,,,,,,,,0.419,0.969,1.358,1.467,0.846,0.869,0.47,0.638,,,,,0.288,0.174,,,,,,,,,,,,,,
1937,0.65,0.172,0.419,0.281,1.229,0.13,0.334,0.185,0.129,0.28,0.29,0.398,0.078,,0.229,0.051,,,,,0.872,0.599,1.823,0.243,0.523,0.29,0.699,0.348,0.467,0.512,,,,,,,,,,,,,,,0.377,1.022,1.334,1.426,1.075,0.932,0.545,1.101,,,,,0.441,0.279,,,,,,,,,,,,,,
1938,0.498,0.143,0.438,0.308,1.418,0.105,0.316,0.199,0.076,0.213,0.201,0.526,0.177,,0.347,0.058,,,,,0.766,0.654,1.841,0.159,0.705,0.174,0.762,0.22,0.297,0.389,,,,,,,0.569,,,,,,,,0.406,0.71,1.511,1.651,0.943,1.055,0.515,1.186,,,,,0.465,0.303,,,,,,,,,,,,,,
1939,0.375,0.2,0.413,0.205,1.264,0.068,0.345,0.142,0.033,0.205,0.137,0.5,0.039,,0.388,0.075,,,,,0.703,0.376,1.368,0.249,0.685,0.524,0.441,0.287,0.102,0.202,,,,,,,0.223,0.327,,,,,,,0.258,0.638,0.882,1.175,0.549,0.6760001,0.305,1.339,,,,,0.471,0.341,,,,,,,,,,,,,,
1940,0.467,0.16,0.3,0.142,1.214,0.041,0.41,0.049,0.068,0.298,0.141,0.287,0.068,,0.195,0.099,,,,,0.756,0.491,1.374,0.14,1.033,0.632,0.535,0.209,0.144,0.378,,,,,,,0.492,0.186,,,,,,,0.184,1.155,0.851,0.824,0.625,0.575,0.431,1.495,,,,,0.126,0.252,,,,,,,,,,,,,,
1941,0.39,0.078,0.442,0.263,0.73,0.07,0.3,0.062,0.054,0.302,0.206,0.497,0.088,,0.146,0.108,,,,,0.434,0.287,1.021,0.178,1.254,0.493,0.442,0.089,0.209,0.27,,,,,,,0.585,0.28,,,,,,,0.144,0.861,0.677,0.975,0.376,0.693,0.287,1.003,0.803,,,,0.512,0.311,,,,,,,,,,,,,,
1942,0.443,0.111,0.425,0.242,0.645,0.114,0.52,0.044,0.081,0.36,0.249,0.399,0.151,,0.275,0.082,,,,,0.657,0.439,1.144,0.287,1.119,0.598,0.647,0.072,0.618,0.397,,,,,,,0.453,0.274,,,,,,,0.182,0.921,0.915,1.138,0.508,0.694,0.362,0.69,0.694,1.148,,,0.306,0.289,,,,,,,,,,,,,,
1943,0.576,0.105,0.456,0.238,0.591,0.094,0.632,0.082,0.084,0.521,0.188,0.602,0.175,,0.092,0.129,,,,,0.76,0.503,1.093,0.355,1.235,0.413,0.685,0.113,0.532,0.449,,,,,,0.678,0.288,0.194,,,,,,,0.197,0.662,1.315,1.21,0.55,0.881,0.421,0.7090001,0.454,0.788,,,0.1,0.193,,,,,,,,,0.678,,,,,
1944,0.769,0.171,0.522,0.319,0.569,0.118,0.627,0.084,0.087,0.452,0.214,0.474,0.102,,0.084,0.078,,,,,0.742,0.574,1.419,0.178,1.048,0.441,0.611,0.074,0.349,0.51,,,,,,0.775,0.335,0.156,,,,,,,0.767,0.699,1.016,0.986,0.57,0.872,0.427,0.747,0.276,0.636,,,0.028,0.072,,,,,,,,,0.371,,,,,
1945,0.506,0.188,0.632,0.258,0.632,0.059,0.644,0.067,0.096,0.511,0.113,0.556,0.152,,0.065,0.121,,,,,0.382,0.374,1.168,0.299,1.009,0.425,0.682,0.081,0.341,0.401,,,,,,0.489,0.6070001,0.167,,,,,,,0.967,0.67,0.603,0.774,0.358,0.417,0.165,0.764,0.192,0.301,,,0.033,0.056,,,,,,,,,0.491,1.112,,,,
1946,0.376,0.237,0.443,0.219,0.717,0.103,0.586,0.071,0.141,0.399,0.16,0.459,0.118,,0.093,0.09100001,,,,,0.59,0.632,1.507,0.159,1.015,0.312,0.793,0.024,0.509,0.36,,,,,0.479,0.861,0.469,0.273,,,,,,,0.463,0.7,0.912,1.055,0.518,0.601,0.313,0.848,0.198,0.415,,,0.058,0.046,,,,,,,,,0.365,0.332,,,,
1947,0.194,0.135,0.529,0.116,0.593,0.061,0.239,0.118,0.065,0.58,0.093,0.443,0.176,,0.097,0.053,,,,,0.489,0.417,1.64,0.223,0.8340001,0.535,0.785,0.046,0.495,0.229,,,,,0.804,0.604,0.602,0.219,,,,,,,0.423,0.891,0.724,0.963,0.325,0.309,0.138,0.604,0.527,0.366,,,0.156,0.041,,,,,0.484,,,,0.45,0.456,,,,
