year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU,late.tdd,total.tdd,late.fdd,total.fdd
1995,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,69,0.58,2.4,2.31,0,0.79,0.55,0.55,0.13,-297.95,-12.75,5.88,-10.3,3.72,-1.81,-0.75,161.37,221.15,567.76,623.14,-2621.01,-2654.73
1996,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,62.5,0.72,1,0.95,0,0.76,0.76,0.77,0.2,-236.33,-15.41,3.06,-11.91,2.04,-1.68,-0.96,163.84,282.76,459.29,497.69,-2943.13,-3006.83
1997,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,84.5,1.01,0.94,0.84,0,0.58,0.54,0.53,0.22,-394.39,-14.35,5.17,-9.69,5.66,-2.46,-1.07,143.98,299.67,804.45,883.89,-2416.61,-2432.24
1998,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,98,1.23,1.15,1.07,0,0.7,0.67,0.66,0.21,-270.05,-12.65,5.17,-7.67,6.01,-1.65,-0.79,146.44,224.76,918.78,944.80,-1951.45,-1973.49
1999,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,79.5,0.96,0.96,0.84,0,0.64,0.53,0.47,0.19,-271.39,-12.53,4.47,-8.59,4.72,-1.62,-0.86,147.26,251.65,725.07,759.70,-2093.63,-2127.19
2000,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,82.5,1.32,2.3,2.13,0,0.58,0.53,0.48,0.17,-284.75,-12.54,3.35,-8.13,3.87,-1.63,-0.89,147.52,280.7,641.90,649.39,-2020.49,-2050.71
2001,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,96,1.02,1.05,0.9,0,0.23,0.19,0.16,0.09,-241.42,-12.5,4.44,-8.56,4.8,-1.64,-0.83,149.73,265.14,754.82,779.09,-2102.35,-2106.39
2002,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,81.5,0.83,0.94,0.77,0,0.55,0.49,0.42,0.02,-38.27,-14.51,3.66,-8.67,4.37,-1.71,-0.91,136.31,298.3,707.84,734.37,-2160.99,-2191.78
2003,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,85.5,1.02,1.22,0.79,0,0.75,0.66,0.61,0.1,-211.54,-12.14,3.72,-7.7,4.04,-1.37,-0.75,162.05,258.91,723.48,780.25,-1905.31,-1995.19
2004,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,101.5,1.08,1.08,0.79,0,0.9,0.63,0.55,0.08,-163.1,-12.78,4.45,-10.19,5.36,-1.69,-0.89,171.87,203.35,953.99,953.99,-2621.37,-2682.36
2005,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,103.5,1.18,1.27,1.07,0,0.63,0.57,0.45,0.09,-157.79,-11.93,5.17,-7.76,6.09,-1.32,-0.66,226.58,198.48,929.96,964.53,-2028.50,-2044.76
