year,site,elev,lat,lon,line,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
2005,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,111,1.18,1.27,1.07,0,0.63,0.57,0.45,0.09,431.12,4.88,5.17,4.15,6.09,3.1,1.54,226.58,198.48
2006,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,144,1.18,0.91,0.61,0,0.33,0.31,0.26,0.06,422.28,4.68,4.99,5.16,6.02,3.42,1.6,150.69,177.95
2007,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,109,1.07,0.93,0.73,0,0.66,0.61,0.53,0.11,304.29,2.32,4.93,3.03,5.71,2.66,1.36,138.84,183.21
2008,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,115,0.62,1.09,1.04,0,0.42,0.42,0.4,0.09,382.01,3.16,4.06,5.59,5.11,3.26,1.51,122.06,224.87
2009,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,47,0.96,0.98,0.82,0,0.68,0.59,0.5,0.17,329.77,2.28,5.37,2.67,5.19,2.85,1.44,125.54,194.42
2010,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,76,0.96,0.98,0.83,0,0.6,0.51,0.44,0.17,353.35,4.95,5.19,3.63,5.1,2.82,1.41,95.17,186.17
2011,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,83,0.96,0.99,0.81,0,0.39,0.33,0.28,0.1,308.53,2.58,4.74,2.79,5.02,2.82,1.43,149.01,229.28
2012,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,90,1,1.25,0.78,0,0.3,0.38,0.26,0.08,450.53,3.74,4.75,7.16,5.04,3.7,1.78,170.87,218.64
2013,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,98,0.85,1.15,0.61,0,1.36,1.62,0.75,0.2,373.24,1.33,5.92,4.16,5.89,3.18,1.55,139.47,250.89
2014,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,95,0.97,1.2,0.72,0,0.48,0.59,0.14,0.15,372.68,3.16,5.18,3.39,5.31,2.93,1.52,186.05,277.7
1997,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,54,1.07,0.86,0.9,0,0.37,0.53,0.31,0.2,200.48,1.36,7.33,4.53,7.44,1.88,1.1,143.98,299.67
1998,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,49,1.12,0.87,0.95,0,0.45,0.35,0.38,0.17,305.33,4.43,7.34,6.38,8.05,2.69,1.4,146.44,224.76
1999,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,50,1.22,1.02,1.19,0,0.4,0.35,0.37,0.16,270.99,1.99,6.53,5.46,7.63,2.32,1.14,147.26,251.65
2000,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,62,0.5,0.84,0.44,0,0.3,0.2,0.24,0.15,326.4,4.08,5.55,6.45,6.63,3.04,1.35,147.52,280.7
2001,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,52,1.17,0.94,1.15,0,1.45,1.08,1.22,0.24,343.66,4.36,6.43,5.04,7.22,2.93,1.29,149.73,265.14
2002,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,57,0.95,0.9,0.9,0,0.55,0.5,0.5,0.16,256.72,1.59,5.85,5.39,7.08,2.64,1.09,136.31,298.3
2003,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,65,1.5,1.43,1.24,0,0.65,0.62,0.62,0.19,303.1,4.63,5.89,7.39,7.43,2.91,1.3,162.05,258.91
2004,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,47,1.02,1.05,1.01,0,0.7,0.66,0.64,0.14,300.99,3.57,6.35,5.65,7.87,2.57,1.13,171.87,203.35
2005,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,54,1.41,1.14,1.05,0,0.33,0.32,0.32,0.14,355.85,4.49,6.84,8.17,7.03,3.14,1.5,226.58,198.48
2006,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,51,1.18,0.82,0.74,0,0.73,0.67,0.67,0.12,376.69,3.96,6.44,5.93,7.42,3.1,1.36,150.69,177.95
2007,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,45,1.28,1.05,1.01,0,0.51,0.47,0.46,0.14,208.53,1.75,6.96,5.74,8.4,2.32,1.42,138.84,183.21
2008,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,45,0.53,0.76,0.78,0,0.4,0.36,0.36,0.13,278.99,1.38,5.47,5.63,6.62,2.5,1.29,122.06,224.87
2009,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,43,1.13,0.89,0.85,0,0.44,0.37,0.37,0.23,211.5,0.85,7.17,4.41,7.93,2.05,1.14,125.54,194.42
2010,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,43,1.14,0.93,0.89,0,0.41,0.82,0.82,0.21,291.91,5,7.28,6.21,8.14,2.8,1.52,95.17,186.17
2011,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,45,1,1.06,1.03,0,0.34,0.26,0.25,0.06,409.65,1.71,6.91,6.12,6.84,3.27,1.54,149.01,229.28
2012,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,48,1.01,1.09,1.06,0,0.39,0.36,0.34,0.14,334.11,3.58,7.11,5.91,6.93,2.92,1.49,170.87,218.64
2013,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,51,0.96,1.06,1.05,0,0.9,0.58,0.59,0.46,62.54,0.21,7.87,1.41,7.43,0,1.22,139.47,250.89
2014,HF,1260,63.314262,0.309903,HF.A,4.9,1,2.48,0.5,4.78,62,1.03,0.65,0.56,0,0.86,0.73,0.72,0.18,372.2,2.56,7.35,6.5,7.63,2.6,1.25,186.05,277.7
1997,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,49,1.07,0.86,0.9,0,0.37,0.53,0.31,0.2,200.48,1.36,7.33,4.53,7.44,1.88,1.1,143.98,299.67
1998,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,64,1.12,0.87,0.95,0,0.45,0.35,0.38,0.17,305.33,4.43,7.34,6.38,8.05,2.69,1.4,146.44,224.76
1999,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,50,1.22,1.02,1.19,0,0.4,0.35,0.37,0.16,270.99,1.99,6.53,5.46,7.63,2.32,1.14,147.26,251.65
2000,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,54,0.5,0.84,0.44,0,0.3,0.2,0.24,0.15,326.4,4.08,5.55,6.45,6.63,3.04,1.35,147.52,280.7
2001,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,74,1.17,0.94,1.15,0,1.45,1.08,1.22,0.24,343.66,4.36,6.43,5.04,7.22,2.93,1.29,149.73,265.14
2002,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,51,0.95,0.9,0.9,0,0.55,0.5,0.5,0.16,256.72,1.59,5.85,5.39,7.08,2.64,1.09,136.31,298.3
2003,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,56,1.5,1.43,1.24,0,0.65,0.62,0.62,0.19,303.1,4.63,5.89,7.39,7.43,2.91,1.3,162.05,258.91
2004,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,53,1.02,1.05,1.01,0,0.7,0.66,0.64,0.14,300.99,3.57,6.35,5.65,7.87,2.57,1.13,171.87,203.35
2005,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,53,1.41,1.14,1.05,0,0.33,0.32,0.32,0.14,355.85,4.49,6.84,8.17,7.03,3.14,1.5,226.58,198.48
2006,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,62,1.18,0.82,0.74,0,0.73,0.67,0.67,0.12,376.69,3.96,6.44,5.93,7.42,3.1,1.36,150.69,177.95
2007,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,62,1.28,1.05,1.01,0,0.51,0.47,0.46,0.14,208.53,1.75,6.96,5.74,8.4,2.32,1.42,138.84,183.21
2008,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,51,0.53,0.76,0.78,0,0.4,0.36,0.36,0.13,278.99,1.38,5.47,5.63,6.62,2.5,1.29,122.06,224.87
2009,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,54,1.13,0.89,0.85,0,0.44,0.37,0.37,0.23,211.5,0.85,7.17,4.41,7.93,2.05,1.14,125.54,194.42
2010,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,67,1.14,0.93,0.89,0,0.41,0.82,0.82,0.21,291.91,5,7.28,6.21,8.14,2.8,1.52,95.17,186.17
2011,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,58,1,1.06,1.03,0,0.34,0.26,0.25,0.06,409.65,1.71,6.91,6.12,6.84,3.27,1.54,149.01,229.28
2012,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,66,1.01,1.09,1.06,0,0.39,0.36,0.34,0.14,334.11,3.58,7.11,5.91,6.93,2.92,1.49,170.87,218.64
2013,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,53,0.96,1.06,1.05,0,0.9,0.58,0.59,0.46,62.54,0.21,7.87,1.41,7.43,0,1.22,139.47,250.89
2014,HF,1260,63.314262,0.309903,HF.B,4.9,1,2.48,0.5,4.78,72,1.03,0.65,0.56,0,0.86,0.73,0.72,0.18,372.2,2.56,7.35,6.5,7.63,2.6,1.25,186.05,277.7
