day,lapse,HF,GF
246,-0.48112537,5.244708333,3.507845748
247,-0.45667312,4.904083333,3.25549337
248,-0.466002554,4.411916667,2.729647448
249,-0.489803065,4.5545,2.786310935
250,-0.57785846,4.77875,2.692680961
251,-0.480284923,4.321666667,2.587838095
252,-0.511906934,4.045291667,2.197307636
253,-0.50137559,3.421666667,1.611700788
254,-0.598639607,3.4845,1.323411019
255,-0.594242046,2.952166667,0.806952881
256,-0.599398922,2.961083333,0.797253225
257,-0.524880535,2.99175,1.09693127
258,-0.478834227,2.088,0.359408442
259,-0.427620856,1.800291667,0.256580375
260,-0.56665607,1.958791667,-0.086836744
261,-0.596577866,1.966583333,-0.187062763
262,-0.619082441,1.625583333,-0.609304279
263,-0.684858849,1.764625,-0.707715443
264,-0.627817811,1.543125,-0.723297296
265,-0.536753407,0.928458333,-1.009221466
266,-0.525511003,0.571291667,-1.325803053
267,-0.456821772,0.165625,-1.483501597
268,-0.447411639,0.043208333,-1.571947683
269,-0.417085263,0.332958333,-1.172719466
270,-0.605383175,0.285958333,-1.89947493
271,-0.52251768,-1.097333333,-2.983622157
272,-0.518742229,-1.657791667,-3.530451115
273,-0.58326995,-2.15825,-4.263854521
274,-0.605289572,-2.553333333,-4.738428688
275,-0.559910441,-2.357625,-4.378901691
276,-0.524678766,-3.208541667,-5.102632012
277,-0.463394333,-3.418166667,-5.091020209
278,-0.523608265,-3.3165,-5.206725835
279,-0.529988393,-2.88025,-4.7935081
280,-0.668919031,-2.779958333,-5.194756035
281,-0.58947154,-3.686708333,-5.814700591
282,-0.451603882,-3.937166667,-5.567456681
283,-0.511489401,-4.067833333,-5.914310072
284,-0.647347217,-4.83425,-7.171173452
285,-0.558536812,-5.801541667,-7.817859559
286,-0.51623882,-5.975458333,-7.839080473
287,-0.691318563,-5.716041667,-8.21170168
288,-0.701824596,-6.313458333,-8.847045125
289,-0.552398695,-7.002666667,-8.996825956
290,-0.181442167,-8.701583333,-9.356589558
291,-0.505441115,-7.960291667,-9.784934093
292,-0.427879341,-8.056541667,-9.601186087
293,-0.468460625,-7.455458333,-9.146601189
294,-0.51139344,-7.466791667,-9.312921986
295,-0.404196463,-8.000208333,-9.459357565
296,-0.423234351,-8.5035,-10.03137601
297,-0.407684391,-8.702791667,-10.17453232
298,-0.564445595,-8.290666667,-10.32831526
299,-0.530999178,-9.042625,-10.95953203
300,-0.566993893,-9.924291667,-11.97113962
301,-0.393840963,-11.53583333,-12.95759921
302,-0.047353994,-12.18070833,-12.35165625
303,-0.029216823,-11.77925,-11.88472273
304,-0.015765843,-11.66075,-11.71766469
305,-0.288185704,-10.16679167,-11.20714206
306,-0.220613896,-10.89954167,-11.69595783
307,-0.000478292,-13.36179167,-13.3635183
308,-0.164837378,-12.923125,-13.51818793
309,-0.066579157,-13.03395833,-13.27430909
310,-0.045653046,-14.158375,-14.3231825
311,-0.128122115,-15.45220833,-15.91472917
312,0.268119671,-16.39958333,-15.43167132
313,0.331002516,-15.93958333,-14.74466425
314,0.547620564,-16.43616667,-14.45925643
315,0.551661145,-16.49866667,-14.50716993
316,0.310197855,-15.87420833,-14.75439408
317,0.378629197,-17.147125,-15.7802736
318,0.313538327,-16.35391667,-15.22204331
319,0.476467124,-18.706125,-16.98607868
320,0.59248363,-19.199625,-17.0607591
321,0.352302589,-17.5105,-16.23868765
322,0.246041658,-17.93333333,-17.04512295
323,0.250424377,-19.70554167,-18.80150967
324,0.22619089,-20.16545833,-19.34890922
325,0.370450148,-20.15775,-18.82042497
326,0.667490427,-19.34841667,-16.93877622
327,0.499854622,-17.895625,-16.09114981
328,0.277931374,-17.196375,-16.19304274
