year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
2004,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,91.67,0.94,1.07,1.21,0.56,0.27,0.29,0.26,0.14,-39.41,-11.58,6.36,-2.81,8.03,-0.59,-0.39,171.87,203.35
2004,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,101.5,1.08,1.08,0.79,0,0.9,0.63,0.55,0.08,-163.1,-12.78,4.45,-10.19,5.36,-1.69,-0.89,171.87,203.35
2004,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,50,1.02,1.05,1.01,0,0.7,0.66,0.64,0.14,-287.92,-13.24,6.35,-6.26,7.87,-1.85,-1.07,171.87,203.35
2005,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,59.2,0.62,0.63,0.65,0.01,0.28,0.27,0.23,0.07,-102.43,-12.1,7,-3.12,7.72,-0.55,0.1,226.58,198.48
2005,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,69.5,1.33,1.15,0.98,0,0.19,0.16,0.14,0.09,-148.86,-11.25,5.98,-3.49,6.86,-1.52,-0.96,226.58,198.48
2005,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,92.33,0.39,0.4,0.51,0.16,0.28,0.28,0.27,0.12,-59.59,-10.94,6.44,-1.51,7.93,-0.22,-0.37,226.58,198.48
2005,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,103.5,1.18,1.27,1.07,0,0.63,0.57,0.45,0.09,-157.79,-11.93,5.17,-7.76,6.09,-1.32,-0.66,226.58,198.48
2005,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,53.5,1.41,1.14,1.05,0,0.33,0.32,0.32,0.14,-233.06,-12.32,6.84,-3.74,7.03,-1.28,-0.7,226.58,198.48
2006,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,59.2,1.2,1.22,0.83,0.02,1.13,1.09,0.93,0.16,-113.4,-12.7,7.2,-4.53,7.78,-0.53,0.04,150.69,177.95
2006,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,60.75,1.08,2.53,2.09,0,0.3,0.28,0.26,0.16,-426.16,-11.83,6.02,-7.07,6.87,-2.96,-1.59,150.69,177.95
2006,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,83.33,1.1,1.06,1.07,0.63,0.16,0.15,0.14,0.05,61.35,-11.63,6.45,-1.98,6.77,-0.42,-0.44,150.69,177.95
2006,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,124,1.18,0.91,0.61,0,0.33,0.31,0.26,0.06,-166.63,-12.13,4.99,-6.75,6.02,-1,-0.6,150.69,177.95
2006,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,56.5,1.18,0.82,0.74,0,0.73,0.67,0.67,0.12,-212.22,-12.85,6.44,-5.98,7.42,-1.32,-0.84,150.69,177.95
2007,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,60.6,1.12,1.14,0.83,0.01,0.51,0.49,0.43,0.07,-176.12,-14.93,6.91,-5.39,7.71,-1.05,-0.18,138.84,183.21
2007,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,75,1.02,0.92,0.76,0,0.46,0.31,0.29,0.13,-323.17,-14.16,5.92,-6.92,6.23,-2.33,-1.55,138.84,183.21
2007,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,94,1.13,1.19,0.55,0.35,0.21,0.23,0.21,0.1,-31.17,-13.92,6.38,-3.24,7.52,-0.45,-0.33,138.84,183.21
2007,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,115.5,1.07,0.93,0.73,0,0.66,0.61,0.53,0.11,-284.62,-14.49,4.93,-8.88,5.71,-1.76,-0.84,138.84,183.21
2007,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,53.5,1.28,1.05,1.01,0,0.51,0.47,0.46,0.14,-380.38,-15.06,6.96,-6.17,8.4,-2.1,-0.78,138.84,183.21
2008,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,53,0.51,0.47,0.97,0,0.31,0.33,0.29,0.09,-214.62,-15.07,5.52,-5.28,6.54,-1.04,-0.63,122.06,224.87
2008,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,64,1.15,1.02,0.87,0,0.45,0.39,0.36,0.22,-536.85,-13.25,5.34,-6.99,6.1,-3.08,-1.56,122.06,224.87
2008,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,98,0.47,0.53,0.46,0.32,0.17,0.18,0.16,0.06,111.46,-13.04,5.69,-2.78,6.96,-0.39,-0.33,122.06,224.87
2008,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,107.5,0.62,1.09,1.04,0,0.42,0.42,0.4,0.09,-206.9,-13.65,4.06,-6.32,5.11,-1.16,-0.69,122.06,224.87
2008,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,48,0.53,0.76,0.78,0,0.4,0.36,0.36,0.13,-309.92,-15.43,5.47,-6.28,6.62,-1.92,-0.91,122.06,224.87
2009,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,52.8,1.16,1.08,0.88,0,0.37,0.77,0.69,0.11,-182,-15.6,7.07,-6.01,8.13,-1,-0.56,125.54,194.42
2009,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,54.75,1.01,0.9,0.65,0,0.73,0.65,0.53,0.34,-540.3,-14.5,6.26,-10.27,6.52,-3.27,-1.64,125.54,194.42
2009,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,89.67,1.14,1.38,0.79,0.3,0.29,0.3,0.28,0.18,-79.7,-14.98,6.07,-2.83,5.98,-0.34,-0.37,125.54,194.42
2009,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,78.5,0.96,0.98,0.82,0,0.68,0.59,0.5,0.17,-259.14,-14.53,5.37,-9.24,5.19,-1.57,-0.76,125.54,194.42
2009,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,48.5,1.13,0.89,0.85,0,0.44,0.37,0.37,0.23,-377.41,-15.96,7.17,-7.5,7.93,-2.37,-1.06,125.54,194.42
2010,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,64.2,0.75,0.69,0.85,0,0.56,0.53,0.46,0.13,-175.64,-11.57,7.25,-4.7,8.24,-0.96,-0.54,95.17,186.17
2010,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,74.75,1.1,0.87,0.73,0,0.67,0.52,0.47,0.33,-446.61,-10.82,6.47,-7.05,7.23,-3.01,-1.35,95.17,186.17
2010,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,102,0.21,0.31,0.25,0.27,0.12,0.14,0.12,0.13,41.59,-10.95,6.33,-0.87,1.95,-0.43,-0.38,95.17,186.17
2010,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,86,0.96,0.98,0.83,0,0.6,0.51,0.44,0.17,-235.56,-11.86,5.19,-8.28,5.1,-1.6,-0.79,95.17,186.17
2010,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,55,1.14,0.93,0.89,0,0.41,0.82,0.82,0.21,-297,-11.81,7.28,-5.7,8.14,-1.62,-0.68,95.17,186.17
