site,zone,year,tree,aspect,height,viability,gmin
MLK,Forest,2013,5,L,A,100,4.10E-06
MLK,Forest,2013,5,L,C,100,2.20E-05
MLK,Forest,2013,5,L,S,100,1.60E-06
OWL,Forest,2013,1,L,A,100,1.20E-05
OWL,Forest,2013,1,L,C,98,6.80E-06
OWL,Forest,2013,1,L,S,97,1.60E-05
OWL,Forest,2013,2,L,A,100,4.20E-06
OWL,Forest,2013,2,L,C,100,3.50E-06
OWL,Forest,2013,2,L,S,97,4.50E-06
OWL,Forest,2013,3,L,A,100,6.80E-06
OWL,Forest,2013,3,L,C,100,1.00E-05
OWL,Forest,2013,3,L,S,100,9.10E-06
OWL,Forest,2013,4,L,A,92,5.00E-06
OWL,Forest,2013,4,L,C,73,5.80E-06
OWL,Forest,2013,4,L,S,93,8.20E-06
OWL,Forest,2013,5,L,A,91,9.60E-06
OWL,Forest,2013,5,L,C,97,3.90E-06
OWL,Forest,2013,5,L,S,89,1.50E-07
ROK,Forest,2013,1,L,A,95,1.80E-05
ROK,Forest,2013,1,L,C,91,2.60E-05
ROK,Forest,2013,1,L,S,98,2.00E-05
ROK,Forest,2013,2,L,A,98,9.00E-06
ROK,Forest,2013,2,L,C,0,1.40E-05
ROK,Forest,2013,2,L,S,94,1.50E-05
WSU,Forest,2013,1,L,A,95,2.40E-05
WSU,Forest,2013,1,L,C,97,1.40E-05
WSU,Forest,2013,1,L,S,13,1.60E-05
WSU,Forest,2013,2,L,A,95,1.30E-05
WSU,Forest,2013,2,L,C,97,5.50E-06
WSU,Forest,2013,3,L,A,60,2.50E-05
WSU,Forest,2013,3,L,C,97,6.30E-06
WSU,Forest,2013,4,L,A,93,1.50E-05
WSU,Forest,2013,4,L,C,93,2.90E-05
WSU,Forest,2013,5,L,A,94,7.00E-06
WSU,Forest,2013,5,L,C,94,1.20E-05
AIR,Forest,2013,1,W,A,97,1.60E-05
AIR,Forest,2013,1,W,C,83,3.00E-05
AIR,Forest,2013,1,W,S,95,1.10E-06
AIR,Forest,2013,2,W,A,89,9.90E-06
AIR,Forest,2013,2,W,C,94,4.30E-06
AIR,Forest,2013,3,W,A,100,2.70E-05
AIR,Forest,2013,3,W,C,98,1.90E-05
AIR,Forest,2013,4,W,A,78,4.80E-05
AIR,Forest,2013,4,W,C,97,2.20E-05
AIR,Forest,2013,4,W,S,94,5.80E-06
AIR,Forest,2013,5,W,A,93,1.80E-06
AIR,Forest,2013,5,W,C,98,4.40E-06
BLK,Forest,2013,1,W,A,100,4.70E-06
BLK,Forest,2013,1,W,C,97,9.40E-06
BLK,Forest,2013,2,W,A,95,1.50E-05
BLK,Forest,2013,2,W,C,88,1.50E-05
