year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin,lat,lon,dist,cover
2014,BRF,Forest,2,L,A,BRF F2 LA,0.58,1.2373,114.0287,21.5686,43.3000,0.0358,0.0000269,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,L,A,BRF F2 LA,0.31,0.6793,119.5540,90.9091,23.8000,0.0177,0.0000248,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,L,C,BRF F2 LC,0.11,0.2212,104.8148,0.0000,13.4000,0.0059,0.0000184,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,L,C,BRF F2 LC,0.46,1.0181,123.4636,100.0000,26.8000,0.0222,0.0000178,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,L,S,BRF F2 LS,0.23,0.4910,112.7383,5.5556,27.5000,0.0195,0.0000733,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,L,S,BRF F2 LS,0.21,0.4718,123.7079,100.0000,18.1000,0.0137,0.0000155,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,W,A,BRF F2 WA,0.39,0.8337,114.2086,0.0000,25.6000,0.0222,0.0001358,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,W,A,BRF F2 WA,0.12,0.2650,123.8176,96.4286,17.2000,0.0103,0.0000151,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,W,C,BRF F2 WC,0.26,0.5688,116.6032,26.4151,21.5000,0.0144,0.0000578,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,W,C,BRF F2 WC,0.40,0.9056,127.3092,68.1818,24.4000,0.0217,0.0000620,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,W,S,BRF F2 WS,0.19,0.4877,157.2257,9.0909,20.9000,0.0155,0.0000799,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,2,W,S,BRF F2 WS,0.15,0.3480,126.4151,100.0000,16.4000,0.0126,0.0000283,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,L,A,BRF F3 LA,0.23,0.5188,121.7094,100.0000,17.2000,0.0177,0.0000187,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,L,A,BRF F3 LA,0.25,0.5428,119.3131,82.5397,20.7000,0.0201,0.0000203,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,L,C,BRF F3 LC,0.42,0.9890,136.2637,86.6667,30.2000,0.0258,0.0000260,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,L,C,BRF F3 LC,0.07,0.1547,112.2085,0.0000,11.9000,0.0059,0.0000715,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,L,S,BRF F3 LS,0.49,1.0438,113.6308,31.8182,34.9000,0.0365,0.0000367,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,L,S,BRF F3 LS,0.18,0.3950,125.7143,40.9091,17.3000,0.0114,0.0000524,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,W,A,BRF F3 WA,0.58,1.2944,122.7116,12.9870,39.3000,0.0353,0.0000506,58.12008,-92.96609,7.162149902,51
