year,site,zone,lat,lon,elev,tree,aspect,height,code,water,viability,gmin,group,density,swe,htc,dist,cover
2013,BLK,Ecotone,58.620804,-93.810787,37,1,W,C,BLK E1 WC,106,100,2.60E-05,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,2,L,A,BLK E2 LA,108,95,4.10E-05,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,2,L,C,BLK E2 LC,103,96,2.20E-05,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,2,L,S,BLK E2 LS,158,100,1.20E-05,4,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,2,W,A,BLK E2 WA,138,100,1.90E-05,4,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,2,W,C,BLK E2 WC,113,94,3.90E-06,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,3,L,A,BLK E3 LA,90,88,1.70E-05,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,3,L,C,BLK E3 LC,97,100,2.00E-06,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,3,W,A,BLK E3 WA,50,100,7.60E-06,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,3,W,C,BLK E3 WC,93,100,1.50E-05,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,3,W,S,BLK E3 WS,83,100,9.60E-06,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,4,L,A,BLK E4 LA,114,96,5.40E-06,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,4,L,C,BLK E4 LC,111,100,7.80E-06,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,4,W,A,BLK E4 WA,116,96,1.30E-05,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,4,W,C,BLK E4 WC,107,91,7.20E-06,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,4,W,S,BLK E4 WS,117,96,7.60E-06,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,5,L,A,BLK E5 LA,107,84,2.00E-05,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,5,L,C,BLK E5 LC,100,97,1.90E-05,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,5,L,S,BLK E5 LS,113,100,3.40E-06,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,5,W,A,BLK E5 WA,86,98,6.20E-06,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,5,W,C,BLK E5 WC,133,90,2.10E-05,3,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,5,W,S,BLK E5 WS,114,100,1.20E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,L,C,BLK E1 LC,121,100,2.20E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,W,C,BLK E1 WC,106,15,2.30E-05,2,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,L,A,BLK E2 LA,123,100,1.40E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,L,C,BLK E2 LC,124,93,1.60E-05,3,243.905,165.889,0.267,16.966,2
