site,pit,date,depth,density,swe,htc
AIR,Upland forest,2009,43,266.93,114.78,0.49
AIR,Upland forest,2009,48,218.71,104.98,0.29
AIR,Upland forest,2009,47,214.43,100.78,0.29
AIR,Upland forest,2009,42,279.95,117.58,0.55
AIR,Upland forest,2009,39,172.27,67.19,0.22
AIR,Upland forest,2009,35,175.97,61.59,0.26
AIR,Upland forest,2009,42,219.96,92.38,0.34
AIR,Upland forest,2009,40,209.96,83.98,0.32
AIR,Upland forest,2009,48,209.96,100.78,0.27
AIR,Upland forest,2009,49,239.95,117.58,0.35
AIR,Upland forest,2009,52,231.49,120.38,0.30
AIR,Upland forest,2009,50,263.15,131.57,0.41
AIR,Upland forest,2009,49,205.67,100.78,0.25
AIR,Upland forest,2009,46,206.92,95.18,0.27
AIR,Upland forest,2009,52,215.34,111.98,0.26
AIR,Upland forest,2009,54,212.55,114.78,0.25
AIR,Upland forest,2009,70,187.96,131.57,0.15
AIR,Upland forest,2009,60,284.61,170.77,0.40
AIR,Upland forest,2009,57,201.37,114.78,0.21
AIR,Upland forest,2009,44,209.96,92.38,0.29
AIR,Upland forest,2009,42,199.96,83.98,0.28
AIR,Upland forest,2009,70,219.96,153.97,0.20
AIR,Upland forest,2009,66,127.25,83.98,0.07
AIR,Upland forest,2009,70,235.95,165.17,0.23
AIR,Upland forest,2009,66,152.70,100.78,0.10
AIR,Upland forest,2009,61,266.18,162.37,0.34
AIR,Upland forest,2009,71,220.80,156.77,0.20
AIR,Upland forest,2009,74,310.21,229.56,0.38
AIR,Upland forest,2009,67,200.56,134.37,0.18
AIR,Upland forest,2009,72,174.97,125.98,0.13
AIR,Upland forest,2009,79,240.97,190.36,0.22
AIR,Upland forest,2009,52,188.43,97.98,0.20
AIR,Upland forest,2009,50,209.96,104.98,0.26
AIR,Upland forest,2009,51,222.31,113.38,0.28
AIR,Upland forest,2009,44,206.78,90.98,0.29
AIR,Upland forest,2009,51,208.59,106.38,0.25
AIR,Upland forest,2009,48,209.96,100.78,0.27
AIR,Upland forest,2009,46,213.00,97.98,0.29
AIR,Upland forest,2009,53,184.87,97.98,0.19
AIR,Upland forest,2009,55,229.05,125.98,0.28
AIR,Upland forest,2009,65,204.58,132.97,0.19
AIR,Upland forest,2009,64,223.08,142.77,0.23
AIR,Upland forest,2010,43,162.76,69.99,0.18
AIR,Upland forest,2010,49,171.40,83.98,0.18
AIR,Upland forest,2010,56,209.96,117.58,0.23
AIR,Upland forest,2010,57,230.83,131.57,0.27
AIR,Upland forest,2010,54,212.55,114.78,0.25
AIR,Upland forest,2010,51,219.57,111.98,0.28
AIR,Upland forest,2010,46,219.09,100.78,0.31
AIR,Upland forest,2010,62,207.70,128.78,0.20
AIR,Upland forest,2010,68,238.78,162.37,0.25
AIR,Upland forest,2010,56,174.97,97.98,0.16
