location,site,type,year,sample.no,depth,density,swe,htc
AIRf,AIR,Forest,2008,8,103,231.0237858,237.9544994,0.152343349
AIRp,AIR,Forest,2008,8,86,208.3322566,179.1657407,0.148375404
AIRp,AIR,Forest,2008,8,73,226.2581058,165.1684172,0.206173462
AIRp,AIR,Forest,2008,8,65,159.3541444,103.5801939,0.114857854
AIRp,AIR,Forest,2008,8,48,227.4565068,109.1791232,0.316885833
AIRf,AIR,Forest,2008,9,106,235.0493945,249.1523582,0.153235623
AIRf,AIR,Forest,2008,9,72,241.0650157,173.5668113,0.237292062
AIRf,AIR,Forest,2008,9,107,272.0975034,291.1443287,0.203428907
AIRf,AIR,Forest,2008,9,34,247.0115911,83.98394096,0.527597926
AIRf,AIR,Forest,2008,9,97,242.4278708,235.1550347,0.178131486
AIRp,AIR,Forest,2008,9,88,222.6846919,195.9625289,0.165670577
AIRp,AIR,Forest,2008,9,69,215.0313464,148.371629,0.197016132
AIRp,AIR,Forest,2008,9,57,171.8969552,97.98126445,0.152408379
AIRp,AIR,Forest,2008,9,48,227.4565068,109.1791232,0.316885833
AIRf,AIR,Forest,2008,10,86,201.8218736,173.5668113,0.139246839
AIRf,AIR,Forest,2008,10,77,163.6050798,125.9759114,0.10219983
AIRf,AIR,Forest,2008,10,110,285.0364057,313.5400463,0.217147739
AIRf,AIR,Forest,2008,10,24,256.6175974,61.58822337,0.806694243
AIRf,AIR,Forest,2008,10,101,285.4899643,288.344864,0.23725078
AIRp,AIR,Forest,2008,10,90,189.7414962,170.7673466,0.117605996
AIRp,AIR,Forest,2008,10,71,212.9170334,151.1710937,0.187719675
AIRp,AIR,Forest,2008,10,57,196.4536631,111.9785879,0.199064005
AIRp,AIR,Forest,2008,10,54,217.7361432,117.5775173,0.258115819
AIRf,AIR,Forest,2008,11,94,262.0775463,246.3528935,0.214822173
AIRf,AIR,Forest,2008,11,79,216.1611983,170.7673466,0.173890444
AIRf,AIR,Forest,2008,11,68,214.0767123,145.5721643,0.198142332
AIRf,AIR,Forest,2008,11,22,267.2216303,58.78875867,0.954262523
AIRf,AIR,Forest,2008,11,95,244.5848105,232.35557,0.18513251
AIRp,AIR,Forest,2008,11,66,313.8793753,207.1603877,0.438862986
AIRp,AIR,Forest,2008,11,79,212.6175721,167.9678819,0.168235851
AIRp,AIR,Forest,2008,11,50,167.9678819,83.98394096,0.165893671
AIRp,AIR,Forest,2008,11,50,257.5507523,128.7753761,0.390034453
AIRf,AIR,Forest,2009,1,78,208.1653237,162.3689525,0.163331331
AIRf,AIR,Forest,2009,1,80,272.9478081,218.3582465,0.273789359
AIRf,AIR,Forest,2009,1,68,201.7261327,137.1737702,0.175939253
AIRf,AIR,Forest,2009,1,67,190.1129012,127.3756438,0.15859727
AIRp,AIR,Forest,2009,1,94,241.2304687,226.7566406,0.182005201
AIRp,AIR,Forest,2009,1,129,314.6685126,405.9223813,0.225664994
AIRp,AIR,Forest,2009,1,24,244.9531611,58.78875867,0.735025127
AIRp,AIR,Forest,2009,1,51,219.5658587,111.9785879,0.277911665
AIRp,AIR,Forest,2009,1,52,231.4941962,120.376982,0.302987144
AIRp,AIR,Forest,2009,1,52,188.4255086,97.98126445,0.200735128
AIRf,AIR,Forest,2009,2,36,202.1835616,72.78608217,0.333838573
AIRf,AIR,Forest,2009,2,82,238.9786938,195.9625289,0.20476317
AIRf,AIR,Forest,2009,2,86,231.1185972,198.7619936,0.182607523
AIRf,AIR,Forest,2009,2,68,279.9464699,190.3635995,0.338835112
AIRf,AIR,Forest,2009,2,67,188.0237484,125.9759114,0.155130767
AIRp,AIR,Forest,2009,2,128,288.6947971,369.5293402,0.191432325
AIRp,AIR,Forest,2009,2,105,269.2818424,282.7459346,0.20303559
AIRp,AIR,Forest,2009,2,43,266.9257038,114.7780526,0.487146591
AIRp,AIR,Forest,2009,2,50,263.1496817,131.5748408,0.407176799
AIRp,AIR,Forest,2009,2,70,219.9579406,153.9705584,0.203202282
AIRp,AIR,Forest,2009,2,50,209.9598524,104.9799262,0.259208861
AIRf,AIR,Forest,2009,3,44,222.6846919,97.98126445,0.331341154
AIRf,AIR,Forest,2009,3,80,220.457845,176.366276,0.178611106
AIRf,AIR,Forest,2009,3,79,223.2484507,176.366276,0.185480025
AIRf,AIR,Forest,2009,3,70,207.9602348,145.5721643,0.181639329
AIRf,AIR,Forest,2009,3,68,205.8429925,139.9732349,0.183193724
AIRp,AIR,Forest,2009,3,129,301.6477466,389.1255931,0.207375665
AIRp,AIR,Forest,2009,3,97,251.0860091,243.5534288,0.191082372
AIRp,AIR,Forest,2009,3,48,218.7081796,104.9799262,0.292978765
AIRp,AIR,Forest,2009,3,49,205.6749575,100.7807292,0.253813129
AIRp,AIR,Forest,2009,3,66,127.2483954,83.98394096,0.072128687
AIRp,AIR,Forest,2009,3,51,222.310432,113.3783203,0.28490288
AIRf,AIR,Forest,2009,4,42,216.6252445,90.98260271,0.328485476
AIRf,AIR,Forest,2009,4,82,256.0486005,209.9598524,0.235059761
AIRf,AIR,Forest,2009,4,78,247.6449541,193.1630642,0.231159472
AIRf,AIR,Forest,2009,4,68,216.1351422,146.9718967,0.201971081
AIRf,AIR,Forest,2009,4,68,187.3171232,127.3756438,0.151702723
AIRp,AIR,Forest,2009,4,130,314.40142,408.721846,0.223549126
AIRp,AIR,Forest,2009,4,96,274.1142517,263.1496817,0.230112033
AIRp,AIR,Forest,2009,4,47,214.4270833,100.7807292,0.287613157
AIRp,AIR,Forest,2009,4,46,206.916956,95.18179975,0.27364131
AIRp,AIR,Forest,2009,4,70,235.9548817,165.1684172,0.233833766
AIRp,AIR,Forest,2009,4,44,206.7786425,90.98260271,0.28569722
AIRf,AIR,Forest,2009,5,35,307.9411169,107.7793909,0.796552944
AIRf,AIR,Forest,2009,5,76,221.0103709,167.9678819,0.188955286
AIRf,AIR,Forest,2009,5,82,238.9786938,195.9625289,0.20476317
AIRf,AIR,Forest,2009,5,68,218.1935721,148.371629,0.205836469
AIRf,AIR,Forest,2009,5,72,202.1835616,145.5721643,0.166919286
AIRp,AIR,Forest,2009,5,127,350.4841631,445.1148871,0.284367793
AIRp,AIR,Forest,2009,5,97,265.5162395,257.5507523,0.213676998
AIRp,AIR,Forest,2009,5,42,279.9464699,117.5775173,0.548590182
AIRp,AIR,Forest,2009,5,52,215.3434384,111.9785879,0.262184657
AIRp,AIR,Forest,2009,5,66,152.6980745,100.7807292,0.103865309
AIRp,AIR,Forest,2009,5,51,208.5875658,106.3796585,0.250815277
AIRf,AIR,Forest,2009,6,45,192.8520126,86.78340566,0.242987072
AIRf,AIR,Forest,2009,6,75,223.9571759,167.9678819,0.196614721
AIRf,AIR,Forest,2009,6,82,239.3200919,196.2424754,0.205348625
AIRf,AIR,Forest,2009,6,66,186.6309799,123.1764467,0.155156819
AIRf,AIR,Forest,2009,6,74,204.2852618,151.1710937,0.165801968
AIRp,AIR,Forest,2009,6,134,313.372914,419.9197048,0.215459399
AIRp,AIR,Forest,2009,6,102,244.2670178,249.1523582,0.171979554
AIRp,AIR,Forest,2009,6,39,172.2747507,67.18715277,0.223730907
AIRp,AIR,Forest,2009,6,54,212.5519493,114.7780526,0.245970914
AIRp,AIR,Forest,2009,6,61,266.1786107,162.3689525,0.341478845
AIRp,AIR,Forest,2009,6,48,209.9598524,100.7807292,0.27000923
AIRf,AIR,Forest,2009,7,44,209.9598524,92.38233506,0.294555524
AIRf,AIR,Forest,2009,7,77,210.8687695,162.3689525,0.16977789
AIRf,AIR,Forest,2009,7,79,244.5102079,193.1630642,0.222491912
