site,group,date,year,zone,sample,weight,depth,density,swe,htc
TIS,2.1,20120221,2012,Island,8,1010,89,318,283,0.33
TIS,2.1,20120221,2012,Island,12,1000,88,318,280,0.34
TIS,2.1,20120221,2012,Island,5,1120,93,337,314,0.36
TIS,2.1,20120221,2012,Island,7,1120,92,341,314,0.37
TIS,2.1,20120221,2012,Island,4,1095,90,341,307,0.38
TIS,2.1,20120221,2012,Island,10,1060,88,337,297,0.38
TIS,2.1,20120221,2012,Island,13,1100,89,346,308,0.40
TIS,2.1,20120221,2012,Island,6,1095,88,348,307,0.41
TIS,2.1,20120221,2012,Island,9,1080,86,352,302,0.42
TIS,2.1,20120221,2012,Island,11,1090,86,355,305,0.43
T10,2,20130214,2013,Deflation,12,450,76,166,126,0.11
T10,1,20130214,2013,Deflation,1,280,49,160,78,0.15
T10,3,20130214,2013,Deflation,33,300,47,179,84,0.20
T10,2,20130214,2013,Deflation,7,690,78,248,193,0.23
T10,2,20130214,2013,Deflation,22,640,73,245,179,0.24
T10,2,20130214,2013,Deflation,2,820,82,280,230,0.28
T10,2,20130214,2013,Deflation,27,760,75,284,213,0.32
T10,2,20130214,2013,Deflation,17,850,80,297,238,0.33
T10,2,20130214,2013,Deflation,42,800,75,299,224,0.35
T10,2,20130214,2013,Deflation,37,740,71,292,207,0.35
T10,3,20130214,2013,Deflation,18,315,40,220,88,0.36
T10,2,20130214,2013,Deflation,32,765,72,297,214,0.36
T10,3,20130214,2013,Deflation,28,290,37,219,81,0.38
T10,1,20130214,2013,Deflation,6,390,45,243,109,0.38
T10,1,20130214,2013,Deflation,36,320,38,236,90,0.43
T10,3,20130214,2013,Deflation,38,260,33,221,73,0.43
T10,3,20130214,2013,Deflation,23,400,43,260,112,0.46
T10,5,20130214,2013,Deflation,15,340,36,264,95,0.57
T10,1,20130214,2013,Deflation,11,400,39,287,112,0.62
T10,5,20130214,2013,Deflation,5,420,40,294,118,0.64
T10,5,20130214,2013,Deflation,30,440,41,300,123,0.65
T10,3,20130214,2013,Deflation,3,350,35,280,98,0.66
T10,5,20130214,2013,Deflation,20,350,35,280,98,0.66
T10,1,20130214,2013,Deflation,41,450,41,307,126,0.68
T10,5,20130214,2013,Deflation,10,260,28,260,73,0.71
T10,1,20130214,2013,Deflation,16,260,28,260,73,0.71
T10,5,20130214,2013,Deflation,40,220,25,246,62,0.71
T10,3,20130214,2013,Deflation,43,290,30,271,81,0.72
T10,1,20130214,2013,Deflation,26,420,38,309,118,0.74
T10,5,20130214,2013,Deflation,45,170,20,238,48,0.83
T10,4,20130214,2013,Deflation,24,380,34,313,106,0.85
