site,site2,zone,group,date,year,time,sample,weight,depth,density,swe,htc
T10,T10l,Drift,2,20120223,2012,1420,20,1300,110,330.845828,363.9304108,0.292553953
T10,T10l,Drift,2,20120223,2012,1420,21,1380,114,338.8825688,386.3261284,0.296169915
T10,T10l,Drift,2,20120223,2012,1420,22,1880,141,373.2619598,526.2993634,0.290506385
T10,T10l,Drift,2,20120223,2012,1420,23,1680,122,385.5000569,470.3100694,0.358126446
T10,T10l,Drift,2,20120223,2012,1420,24,1490,114,365.8949475,417.1202401,0.345267185
T10,T10l,Drift,3,20120223,2012,1420,1,1100,94,327.5969328,307.9411169,0.335659645
T10,T10l,Drift,3,20120223,2012,1420,2,1400,104,376.8510171,391.9250578,0.401470256
T10,T10l,Drift,3,20120223,2012,1420,3,1520,116,366.8264088,425.5186342,0.341044091
T10,T10l,Drift,3,20120223,2012,1420,4,1380,104,371.4674312,386.3261284,0.39008161
T10,T10l,Drift,3,20120223,2012,1420,5,1580,116,381.3063986,442.3154224,0.36850003
T10,T10l,Drift,3,20120223,2012,1420,6,1620,120,377.9277343,453.5132812,0.349931962
T10,T10l,Drift,3,20120223,2012,1420,7,1660,116,400.6130517,464.71114,0.406761209
T10,T10l,Drift,3,20120223,2012,1420,8,1630,124,367.9941499,456.3127459,0.321075727
T10,T10l,Drift,3,20120223,2012,1420,9,960,80,335.9357638,268.7486111,0.414734178
T10,T10l,Drift,3,20120223,2012,1420,10,1720,130,370.390714,481.5079282,0.310258835
T10,T10l,Drift,3,20120223,2012,1420,11,1720,132,364.7787335,481.5079282,0.296368759
T10,T10l,Drift,3,20120223,2012,1420,12,1680,124,379.282314,470.3100694,0.341075739
T10,T10l,Drift,3,20120223,2012,1420,13,1180,99,333.6735701,330.3368344,0.330640274
T10,T10l,Drift,3,20120223,2012,1420,14,1380,109,354.4276407,386.3261284,0.338825432
T10,T10l,Drift,3,20120223,2012,1420,15,1760,124,397.3433766,492.705787,0.374332557
T10,T10w,Windward,1,20120223,2012,1420,1,54,5,302.3421875,15.11710937,5.374954941
T10,T10w,Windward,1,20120224,2012,900,1,54,7,215.9587053,15.11710937,1.958802821
T10,T10w,Windward,1,20120223,2012,1420,2,134,10,375.1282696,37.51282696,4.137203829
T10,T10w,Windward,1,20120224,2012,900,2,76,6,354.5988618,21.27593171,6.161277288
T10,T10w,Windward,1,20120223,2012,1420,3,630,45,391.9250578,176.366276,1.003554306
T10,T10w,Windward,1,20120224,2012,900,3,268,19,394.8718628,75.02565392,2.412715456
T10,T10w,Windward,1,20120223,2012,1420,4,490,39,351.727616,137.1737702,0.932600535
T10,T10w,Windward,1,20120224,2012,900,4,58,8,202.9611907,16.23689525,1.513851751
T10,T10w,Windward,1,20120223,2012,1420,5,170,17,279.9464699,47.59089988,1.355340449
T10,T10w,Windward,1,20120224,2012,900,5,62,5,347.1336226,17.35668113,7.085503015
T10,T10w,Windward,1,20120223,2012,1420,6,158,16,276.447139,44.23154224,1.404273005
T10,T10w,Windward,1,20120224,2012,900,6,96,9,298.6095679,26.87486111,2.912810685
T10,T10w,Windward,1,20120223,2012,1420,7,98,11,249.406855,27.43475405,1.662537374
T10,T10w,Windward,1,20120224,2012,900,7,136,15,253.8181327,38.0727199,1.262703432
T10,T10w,Windward,1,20120223,2012,1420,8,124,11,315.5760206,34.71336226,2.661721644
T10,T10w,Windward,1,20120224,2012,900,8,126,10,352.732552,35.2732552,3.657955446
T10,T10w,Windward,1,20120223,2012,1420,9,164,14,327.9372933,45.91122106,2.258400235
T10,T10w,Windward,1,20120224,2012,900,9,122,9,379.4829925,34.15346932,4.704239825
T10,T10w,Windward,1,20120223,2012,1420,10,75,9,233.2887249,20.99598524,1.777838553
T10,T10w,Windward,1,20120224,2012,900,10,132,13,284.2533386,36.95293402,1.827322184
T10,T10w,Windward,1,20120223,2012,1420,11,497,37,376.0362041,139.1333955,1.123582397
T10,T10w,Windward,1,20120223,2012,1420,12,490,35,391.9250578,137.1737702,1.290284108
T10,T10w,Windward,2,20120223,2012,1420,13,270,24,314.9397786,75.58554686,1.215041536
T10,T10w,Windward,2,20120223,2012,1420,14,240,21,319.9388227,67.18715277,1.433051904
T10,T10w,Windward,2,20120223,2012,1420,15,235,24,274.1142517,65.78742042,0.920448132
T10,T10w,Windward,2,20120223,2012,1420,16,245,20,342.9344256,68.58688512,1.728779098
T10,T10w,Windward,2,20120223,2012,1420,17,100,10,279.9464699,27.99464699,2.304078764
T10,T10w,Windward,2,20120223,2012,1420,18,190,15,354.5988618,53.18982927,2.464510915
T10,T10w,Windward,2,20120223,2012,1420,19,450,37,340.4754363,125.9759114,0.921122046
T10,T10w,Windward,2,20120223,2012,1420,20,160,11,407.1948653,44.79143518,4.431586504
T10,T10w,Windward,2,20120223,2012,1420,21,130,12,303.2753424,36.39304108,2.253410365
T10,T10w,Windward,2,20120223,2012,1420,22,280,22,356.2955071,78.38501156,1.696466708
