site,pit,year,depth,density,swe,htc
BFR,BFR,2003,52.00,255.72,132.97,0.37
BFR,BFR,2003,38.00,221.01,83.98,0.38
BFR,BFR,2003,40.00,227.46,90.98,0.38
BFR,BFR,2003,33.00,212.08,69.99,0.40
BFR,BFR,2003,45.00,248.84,111.98,0.40
BFR,BFR,2003,35.00,219.96,76.99,0.41
BFR,BFR,2003,35.00,219.96,76.99,0.41
BFR,BFR,2003,37.00,226.98,83.98,0.41
BFR,BFR,2003,37.00,226.98,83.98,0.41
BFR,BFR,2003,37.00,226.98,83.98,0.41
BFR,BFR,2003,37.00,226.98,83.98,0.41
BFR,BFR,2003,48.00,262.45,125.98,0.42
BFR,BFR,2003,48.00,262.45,125.98,0.42
BFR,BFR,2003,46.00,258.65,118.98,0.43
BFR,BFR,2003,44.00,254.50,111.98,0.43
BFR,BFR,2003,44.00,254.50,111.98,0.43
BFR,BFR,2003,34.00,226.43,76.99,0.44
BFR,BFR,2003,46.00,273.86,125.98,0.48
BFR,BFR,2003,42.00,266.62,111.98,0.50
BFR,BFR,2003,45.00,279.95,125.98,0.51
BFR,BFR,2003,43.00,276.69,118.98,0.52
BFR,BFR,2003,30.00,233.29,69.99,0.53
BFR,BFR,2003,46.00,289.08,132.97,0.53
BFR,BFR,2003,41.00,273.12,111.98,0.53
BFR,BFR,2003,42.00,283.28,118.98,0.56
BFR,BFR,2003,42.00,283.28,118.98,0.56
BFR,BFR,2003,40.00,279.95,111.98,0.58
BFR,BFR,2003,38.00,276.26,104.98,0.59
BFR,BFR,2003,27.00,233.29,62.99,0.59
BFR,BFR,2003,27.00,233.29,62.99,0.59
BFR,BFR,2003,32.00,262.45,83.98,0.63
BFR,BFR,2003,30.00,256.62,76.99,0.65
BFR,BFR,2003,26.00,242.26,62.99,0.66
BFR,BFR,2003,26.00,242.26,62.99,0.66
BFR,BFR,2003,44.00,318.12,139.97,0.68
BFR,BFR,2003,42.00,316.61,132.97,0.70
BFR,BFR,2003,34.00,288.18,97.98,0.72
BFR,BFR,2003,34.00,288.18,97.98,0.72
BFR,BFR,2003,30.00,303.28,90.98,0.90
BFR,BFR,2003,34.00,329.35,111.98,0.94
BSW,BSW,2003,56.00,59.99,33.59,0.02
BSW,BSW,2003,61.00,91.79,55.99,0.04
BSW,BSW,2003,64.00,96.23,61.59,0.04
BSW,BSW,2003,58.00,96.53,55.99,0.05
BSW,BSW,2003,66.00,106.04,69.99,0.05
BSW,BSW,2003,50.00,101.90,50.95,0.06
BSW,BSW,2003,62.00,121.91,75.59,0.07
BSW,BSW,2003,66.00,127.25,83.98,0.07
BSW,BSW,2003,54.00,116.64,62.99,0.07
BSW,BSW,2003,57.00,122.78,69.99,0.08
BSW,BSW,2003,66.00,135.73,89.58,0.08
BSW,BSW,2003,62.00,135.46,83.98,0.09
