site,year,depth,density,swe,htc
WSU,2014,44,184.51,81.18,0.23
WSU,2014,50,201.56,100.78,0.24
WSU,2014,57,221.01,125.98,0.25
WSU,2014,61,229.92,140.25,0.25
WSU,2014,52,215.34,111.98,0.26
WSU,2014,54,220.33,118.98,0.26
WSU,2014,56,224.96,125.98,0.27
WSU,2014,50,212.76,106.38,0.27
WSU,2014,50,212.76,106.38,0.27
WSU,2014,50,218.36,109.18,0.28
WSU,2014,50,218.36,109.18,0.28
WSU,2014,49,222.81,109.18,0.3
WSU,2014,46,219.09,100.78,0.31
WSU,2014,61,252.41,153.97,0.31
WSU,2014,53,237.69,125.98,0.31
WSU,2014,48,227.46,109.18,0.32
WSU,2014,62,261.89,162.37,0.33
WSU,2014,45,223.96,100.78,0.33
WSU,2014,46,261.69,120.38,0.44
WSU,2014,57,402.73,229.56,0.84
WSU,2014,57,412.55,235.16,0.88
WSU,2015,61,45.89,27.99,0.01
WSU,2015,54,77.76,41.99,0.03
WSU,2015,55,94.16,51.79,0.05
WSU,2015,62,103.85,64.39,0.05
WSU,2015,50,100.78,50.39,0.06
WSU,2015,58,120.67,69.99,0.07
WSU,2015,66,135.73,89.58,0.08
WSU,2015,64,135.6,86.78,0.08
WSU,2015,46,115.63,53.19,0.09
WSU,2015,58,132.73,76.99,0.09
WSU,2015,64,139.97,89.58,0.09
WSU,2015,48,122.48,58.79,0.09
WSU,2015,56,134.97,75.59,0.1
WSU,2015,64,144.35,92.38,0.1
WSU,2015,48,128.31,61.59,0.1
WSU,2015,64,148.72,95.18,0.1
WSU,2015,64,148.72,95.18,0.1
WSU,2015,52,134.59,69.99,0.1
WSU,2015,50,134.37,67.19,0.11
WSU,2015,51,137.23,69.99,0.11
WSU,2015,60,149.3,89.58,0.11
WSU,2015,60,149.3,89.58,0.11
WSU,2015,56,144.97,81.18,0.11
WSU,2015,57,147.34,83.98,0.11
WSU,2015,42,126.64,53.19,0.11
WSU,2015,64,157.47,100.78,0.11
WSU,2015,54,145.16,78.39,0.11
WSU,2015,62,158.03,97.98,0.12
WSU,2015,62,158.03,97.98,0.12
WSU,2015,59,154.21,90.98,0.12
WSU,2015,59,154.21,90.98,0.12
WSU,2015,56,152.47,85.38,0.12
WSU,2015,61,160.63,97.98,0.12
WSU,2015,46,139.97,64.39,0.13
WSU,2015,62,162.55,100.78,0.13
WSU,2015,48,145.81,69.99,0.13
WSU,2015,60,163.3,97.98,0.13
WSU,2015,60,163.3,97.98,0.13
WSU,2015,62,167.06,103.58,0.13
WSU,2015,62,167.06,103.58,0.13
WSU,2015,64,170.59,109.18,0.13
WSU,2015,58,164.11,95.18,0.14
WSU,2015,64,172.78,110.58,0.14
WSU,2015,59,166.07,97.98,0.14
WSU,2015,52,156.12,81.18,0.14
WSU,2015,60,167.97,100.78,0.14
WSU,2015,62,171.58,106.38,0.14
WSU,2015,63,173.3,109.18,0.14
WSU,2015,64,174.97,111.98,0.14
WSU,2015,64,174.97,111.98,0.14
WSU,2015,68,181.14,123.18,0.14
WSU,2015,46,152.14,69.99,0.15
WSU,2015,49,157.11,76.99,0.15
WSU,2015,49,157.11,76.99,0.15
WSU,2015,49,157.11,76.99,0.15
WSU,2015,54,165.89,89.58,0.15
WSU,2015,56,169.97,95.18,0.15
WSU,2015,60,177.3,106.38,0.15
WSU,2015,66,186.63,123.18,0.16
WSU,2015,63,184.41,116.18,0.16
WSU,2015,54,171.08,92.38,0.16
WSU,2015,56,174.97,97.98,0.16
WSU,2015,69,194.75,134.37,0.16
WSU,2015,58,178.59,103.58,0.16
WSU,2015,58,178.59,103.58,0.16
WSU,2015,61,183.57,111.98,0.16
WSU,2015,65,189.5,123.18,0.16
WSU,2015,50,167.97,83.98,0.17
WSU,2015,50,167.97,83.98,0.17
WSU,2015,68,197.61,134.37,0.17
WSU,2015,56,179.97,100.78,0.17
WSU,2015,56,179.97,100.78,0.17
WSU,2015,62,189.64,117.58,0.17
WSU,2015,60,186.63,111.98,0.17
WSU,2015,60,186.63,111.98,0.17
WSU,2015,60,186.63,111.98,0.17
WSU,2015,62,191.9,118.98,0.17
WSU,2015,64,196.84,125.98,0.18
WSU,2015,64,196.84,125.98,0.18
WSU,2015,52,177.66,92.38,0.18
WSU,2015,62,194.16,120.38,0.18
WSU,2015,54,181.45,97.98,0.18
