year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RAM,Ecotone,931,L,EAC,RAM FT931 EAC,0.1571,0.3572,127.3711012,1,NA,0.014276019,3.69331E-05
2008,RAM,Ecotone,931,L,EAS,RAM FT931 EAS,0.20572,0.375,82.28660315,0.9875,NA,0.01903898,2.57595E-05
2008,RAM,Ecotone,931,W,NWA,RAM FT931 NWA,0.2168,0.4894,125.7380074,0.985294118,NA,0.020611625,3.24664E-05
2008,RAM,Ecotone,931,W,NWC,RAM FT931 NWC,0.3166,0.7604,140.1768793,1,NA,0.024441934,3.26641E-05
2008,RAM,Ecotone,931,W,NWS,RAM FT931 NWS,0.1135,0.2682,136.2995595,1,NA,0.012542571,2.76317E-05
2008,RAM,Ecotone,931,L,SOA,RAM FT931 SOA,0.2174,0.5284,143.0542778,0.969230769,NA,0.020695242,3.83528E-05
2008,RAM,Ecotone,931,L,SOC,RAM FT931 SOC,0.3772,0.8571,127.2269353,1,NA,0.030359454,3.59425E-05
2008,RAM,Ecotone,931,L,SOS,RAM FT931 SOS,0.2179,0.4647,113.2629647,1,NA,0.035730248,1.76392E-05
2008,RAM,Ecotone,932,L,EAA,RAM FT932 EAA,0.1349,0.3069,127.5018532,0.877192982,NA,0.013886074,2.80996E-05
2008,RAM,Ecotone,932,L,EAC,RAM FT932 EAC,0.1836,0.43,134.204793,0.949367089,NA,0.016069767,4.10308E-05
2008,RAM,Ecotone,932,L,EAS,RAM FT932 EAS,0.2492,0.56,124.7191011,1,NA,0.020068114,4.23229E-05
2008,RAM,Ecotone,932,W,NWA,RAM FT932 NWA,0.1749,0.4286,145.0543168,1,NA,0.01806275,3.58408E-05
2008,RAM,Ecotone,932,W,NWC,RAM FT932 NWC,0.3079,0.6766,119.746671,1,NA,0.016158209,7.76581E-05
2008,RAM,Ecotone,932,W,NWS,RAM FT932 NWS,0.1484,0.329,121.6981132,0.940298507,NA,0.017938289,3.30242E-05
2008,RAM,Ecotone,932,L,SOA,RAM FT932 SOA,0.2881,0.6474,124.7136411,0.977777778,NA,0.024096209,3.06739E-05
2008,RAM,Ecotone,932,L,SOC,RAM FT932 SOC,0.2614,0.5904,125.8607498,1,NA,0.021635935,3.57665E-05
2008,RAM,Ecotone,932,L,SOS,RAM FT932 SOS,0.1147,0.2473,115.6059285,1,NA,0.01101495,2.52515E-05
2008,RAM,Ecotone,933,L,EAA,RAM FT933 EAA,0.1595,0.3518,120.5642633,1,NA,0.014891891,2.44555E-05
2008,RAM,Ecotone,933,L,EAC,RAM FT933 EAC,0.1855,0.4147,123.5579515,1,NA,0.016647851,1.50357E-05
2008,RAM,Ecotone,933,L,EAS,RAM FT933 EAS,0.2035,0.4528,122.5061425,1,NA,0.016265142,3.25703E-05
2008,RAM,Ecotone,933,W,NWA,RAM FT933 NWA,0.1273,0.295,131.7360566,1,NA,0.013422963,3.56117E-05
2008,RAM,Ecotone,933,W,NWC,RAM FT933 NWC,0.183,0.4009,119.0710383,1,NA,0.016007858,5.08535E-05
2008,RAM,Ecotone,933,W,NWS,RAM FT933 NWS,0.1087,0.2257,107.6356946,0.981481481,NA,0.013980143,1.444E-05
2008,RAM,Ecotone,933,L,SOA,RAM FT933 SOA,0.3069,0.6964,126.9143043,1,NA,0.026281511,3.06505E-05
2008,RAM,Ecotone,933,L,SOC,RAM FT933 SOC,0.3625,0.7966,119.7517241,1,NA,0.024708865,2.44704E-05
2008,RAM,Ecotone,933,L,SOS,RAM FT933 SOS,0.3625,0.4759,31.28275862,1,NA,0.014256723,3.85509E-05
2008,RAM,Tundra,934,L,EAA,RAM T934 EAA,0.1313,0.2763,110.4341203,1,NA,0.011686299,6.17419E-05
2008,RAM,Tundra,934,L,EAS,RAM T934 EAS,0.1059,0.2285,115.769594,1,NA,0.011617959,3.36213E-05
2008,RAM,Tundra,934,W,NWA,RAM T934 NWA,0.1443,0.3149,118.2259182,1,NA,0.015308369,4.64767E-05
2008,RAM,Tundra,934,W,NWS,RAM T934 NWS,0.1811,0.3875,113.9701822,0.95505618,NA,0.019034156,4.5336E-05
2008,RAM,Tundra,934,L,SOA,RAM T934 SOA,0.1477,0.3258,120.5822613,1,NA,0.013928686,2.12131E-05
2008,RAM,Tundra,934,L,SOS,RAM T934 SOS,0.14,0.3185,127.5,1,NA,0.013068394,5.83608E-05
2008,RAM,Tundra,935,L,EAA,RAM T935 EAA,0.1623,0.403,148.3056069,1,NA,0.012282072,5.03527E-05
2008,RAM,Tundra,935,L,EAS,RAM T935 EAS,0.0522,0.1144,119.1570881,1,NA,0.006200533,4.31465E-05
2008,RAM,Tundra,935,W,NWA,RAM T935 NWA,0.1352,0.2967,119.4526627,1,NA,0.013849893,4.13697E-05
