year,site,zone,year.zone,tree,aspect,height,island.side,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RAM,Ecotone,Ecotone.2008,931,L,S,NA,RAM FT931 SOS,0.2179,0.4647,113.263,1,NA,0.03573,0.000018
2008,RAM,Ecotone,Ecotone.2008,932,L,A,NA,RAM FT932 EAA,0.1349,0.3069,127.5019,0.8772,NA,0.013886,0.000028
2008,RAM,Ecotone,Ecotone.2008,932,L,C,NA,RAM FT932 EAC,0.1836,0.43,134.2048,0.9494,NA,0.01607,0.000041
2008,RAM,Ecotone,Ecotone.2008,932,L,S,NA,RAM FT932 EAS,0.2492,0.56,124.7191,1,NA,0.020068,0.000042
2008,RAM,Ecotone,Ecotone.2008,932,W,A,NA,RAM FT932 NWA,0.1749,0.4286,145.0543,1,NA,0.018063,0.000036
2008,RAM,Ecotone,Ecotone.2008,932,W,C,NA,RAM FT932 NWC,0.3079,0.6766,119.7467,1,NA,0.016158,0.000078
2008,RAM,Ecotone,Ecotone.2008,932,W,S,NA,RAM FT932 NWS,0.1484,0.329,121.6981,0.9403,NA,0.017938,0.000033
2008,RAM,Ecotone,Ecotone.2008,932,L,A,NA,RAM FT932 SOA,0.2881,0.6474,124.7136,0.9778,NA,0.024096,0.000031
2008,RAM,Ecotone,Ecotone.2008,932,L,C,NA,RAM FT932 SOC,0.2614,0.5904,125.8607,1,NA,0.021636,0.000036
2008,RAM,Ecotone,Ecotone.2008,932,L,S,NA,RAM FT932 SOS,0.1147,0.2473,115.6059,1,NA,0.011015,0.000025
2008,RAM,Ecotone,Ecotone.2008,933,L,A,NA,RAM FT933 EAA,0.1595,0.3518,120.5643,1,NA,0.014892,0.000024
2008,RAM,Ecotone,Ecotone.2008,933,L,C,NA,RAM FT933 EAC,0.1855,0.4147,123.558,1,NA,0.016648,0.000015
2008,RAM,Ecotone,Ecotone.2008,933,L,S,NA,RAM FT933 EAS,0.2035,0.4528,122.5061,1,NA,0.016265,0.000033
2008,RAM,Ecotone,Ecotone.2008,933,W,A,NA,RAM FT933 NWA,0.1273,0.295,131.7361,1,NA,0.013423,0.000036
2008,RAM,Ecotone,Ecotone.2008,933,W,C,NA,RAM FT933 NWC,0.183,0.4009,119.071,1,NA,0.016008,0.000051
2008,RAM,Ecotone,Ecotone.2008,933,W,S,NA,RAM FT933 NWS,0.1087,0.2257,107.6357,0.9815,NA,0.01398,0.000014
2008,RAM,Ecotone,Ecotone.2008,933,L,A,NA,RAM FT933 SOA,0.3069,0.6964,126.9143,1,NA,0.026282,0.000031
2008,RAM,Ecotone,Ecotone.2008,933,L,C,NA,RAM FT933 SOC,0.3625,0.7966,119.7517,1,NA,0.024709,0.000024
2008,RAM,Ecotone,Ecotone.2008,933,L,S,NA,RAM FT933 SOS,0.3625,0.4759,31.2828,1,NA,0.014257,0.000039
2008,RAM,Tundra,Tundra.2008,934,L,A,NA,RAM T934 EAA,0.1313,0.2763,110.4341,1,NA,0.011686,0.000062
2008,RAM,Tundra,Tundra.2008,934,L,S,NA,RAM T934 EAS,0.1059,0.2285,115.7696,1,NA,0.011618,0.000034
2008,RAM,Tundra,Tundra.2008,934,W,A,NA,RAM T934 NWA,0.1443,0.3149,118.2259,1,NA,0.015308,0.000046
2008,RAM,Tundra,Tundra.2008,934,W,S,NA,RAM T934 NWS,0.1811,0.3875,113.9702,0.9551,NA,0.019034,0.000045
2008,RAM,Tundra,Tundra.2008,934,L,A,NA,RAM T934 SOA,0.1477,0.3258,120.5823,1,NA,0.013929,0.000021
2008,RAM,Tundra,Tundra.2008,934,L,S,NA,RAM T934 SOS,0.14,0.3185,127.5,1,NA,0.013068,0.000058
2008,RAM,Tundra,Tundra.2008,935,L,A,NA,RAM T935 EAA,0.1623,0.403,148.3056,1,NA,0.012282,0.00005
2008,RAM,Tundra,Tundra.2008,935,L,S,NA,RAM T935 EAS,0.0522,0.1144,119.1571,1,NA,0.006201,0.000043
2008,RAM,Tundra,Tundra.2008,935,W,A,NA,RAM T935 NWA,0.1352,0.2967,119.4527,1,NA,0.01385,0.000041
2008,RAM,Tundra,Tundra.2008,935,W,S,NA,RAM T935 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Tundra,Tundra.2008,935,L,A,NA,RAM T935 SOA,0.1127,0.2991,165.3949,1,NA,0.008539,0.000088
2008,RAM,Tundra,Tundra.2008,935,L,S,NA,RAM T935 SOS,0.0585,0.1246,112.9915,1,NA,0.006496,0.000037
