site,zone,zone.aspect,zone.height,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
BLK,Forest,Forest.W,Forest.C,5,W,C,BLK F5 WC,0.5885,0.2825,0.865,2.9065,174.387,9.1E-07,93,108
BSW,Forest,Forest.W,Forest.A,1,W,A,BSW F1 WA,0.2854,0.1436,0.935,3.1417,87.966,1.5E-05,89,99
BSW,Forest,Forest.W,Forest.C,1,W,C,BSW F1 WC,0.2073,0.1023,0.845,2.8393,82.338,9.8E-06,100,103
BSW,Forest,Forest.W,Forest.S,1,W,S,BSW F1 WS,0.2072,0.1109,0.845,2.8393,62.464,2.9E-05,100,87
BSW,Forest,Forest.W,Forest.C,2,W,C,BSW F2 WC,0.1007,0.0478,0.530,1.7808,44.521,3.4E-05,100,111
BSW,Forest,Forest.W,Forest.A,3,W,A,BSW F3 WA,0.0863,0.0228,0.760,2.5536,109.807,9.8E-06,100,279
BSW,Forest,Forest.W,Forest.C,3,W,C,BSW F3 WC,0.6166,0.2661,0.985,3.3097,191.960,1.6E-05,95,132
BSW,Forest,Forest.W,Forest.S,3,W,S,BSW F3 WS,0.1389,0.0754,0.755,2.5368,50.737,2.0E-05,85,84
BSW,Forest,Forest.W,Forest.A,4,W,A,BSW F4 WA,0.2430,0.0899,0.765,2.5704,102.818,2.3E-05,98,170
BSW,Forest,Forest.W,Forest.C,4,W,C,BSW F4 WC,0.1435,0.0747,0.685,2.3016,59.843,5.6E-06,100,92
BSW,Forest,Forest.W,Forest.A,5,W,A,BSW F5 WA,0.2241,0.0368,0.754,2.5330,32.929,4.3E-05,62,509
BSW,Forest,Forest.W,Forest.C,5,W,C,BSW F5 WC,0.1995,0.0927,0.870,2.9233,84.774,5.2E-06,100,115
BSW,Forest,Forest.W,Forest.S,5,W,S,BSW F5 WS,0.3627,0.1702,0.770,2.5872,152.648,1.4E-05,100,113
ROK,Forest,Forest.W,Forest.A,1,W,A,ROK F1 WA,0.3714,0.1804,0.895,3.0073,117.283,2.0E-05,90,106
ROK,Forest,Forest.W,Forest.C,1,W,C,ROK F1 WC,0.5140,0.2410,0.950,3.1921,159.603,2.1E-05,94,113
ROK,Forest,Forest.W,Forest.S,1,W,S,ROK F1 WS,0.1083,0.0543,0.660,2.2176,66.529,1.7E-05,97,99
ROK,Forest,Forest.W,Forest.A,2,W,A,ROK F2 WA,0.2904,0.1064,0.700,2.3520,94.082,1.2E-05,98,173
ROK,Forest,Forest.W,Forest.C,2,W,C,ROK F2 WC,0.5578,0.2728,0.805,2.7048,175.815,4.8E-06,95,104
WSU,Forest,Forest.W,Forest.A,1,W,A,WSU F1 WA,0.3315,0.1565,1.225,4.1161,185.223,8.5E-06,96,112
WSU,Forest,Forest.W,Forest.C,1,W,C,WSU F1 WC,0.6852,0.3132,1.055,3.5449,262.320,1.4E-05,99,119
WSU,Forest,Forest.W,Forest.A,2,W,A,WSU F2 WA,0.5298,0.3058,1.208,4.0573,231.264,1.5E-05,79,73
WSU,Forest,Forest.W,Forest.C,2,W,C,WSU F2 WC,0.5404,0.2784,1.040,3.4945,283.051,7.1E-06,93,94
WSU,Forest,Forest.W,Forest.A,3,W,A,WSU F3 WA,0.1910,0.0900,0.680,2.2848,4.570,3.1E-04,50,112
WSU,Forest,Forest.W,Forest.C,3,W,C,WSU F3 WC,0.4430,0.2340,0.780,2.6208,149.388,1.1E-05,100,89
WSU,Forest,Forest.W,Forest.A,4,W,A,WSU F4 WA,0.3486,0.2056,0.900,3.0241,163.299,1.3E-05,100,70
WSU,Forest,Forest.W,Forest.C,4,W,C,WSU F4 WC,0.4408,0.1988,0.940,3.1585,164.240,4.3E-05,81,122
WSU,Forest,Forest.W,Forest.S,4,W,S,WSU F4 WS,0.1484,0.0594,0.730,2.4528,51.510,5.7E-05,95,150
WSU,Forest,Forest.W,Forest.A,5,W,A,WSU F5 WA,0.1243,0.0733,0.776,2.6090,44.353,8.6E-06,100,70
WSU,Forest,Forest.W,Forest.C,5,W,C,WSU F5 WC,0.4504,0.2274,0.860,2.8897,153.152,1.1E-05,100,98
T10 ,Tree island,Tree island.L,Tree island.A,1,L,A,T10 L1 LA,0.5175,0.2380,0.910,3.0577,177.344,4.5E-06,100,117
T10 ,Tree island,Tree island.L,Tree island.A,1,L,A,T10 W1 LA,0.4764,0.2304,0.908,3.0493,140.266,2.5E-05,100,107
T10 ,Tree island,Tree island.L,Tree island.C,1,L,C,T10 L1 LC,0.3663,0.1753,0.655,2.2008,92.435,6.2E-06,100,109
T10 ,Tree island,Tree island.L,Tree island.C,1,L,C,T10 W1 LC,0.1554,0.0764,0.610,2.0496,55.340,3.1E-05,100,103
T10 ,Tree island,Tree island.L,Tree island.S,1,L,S,T10 L1 LS,0.2825,0.1289,0.710,2.3856,109.740,7.6E-06,100,119
T10 ,Tree island,Tree island.L,Tree island.S,1,L,S,T10 W1 LS,0.8118,0.3788,0.878,2.9485,286.000,1.3E-05,96,114
T10 ,Tree island,Tree island.L,Tree island.A,2,L,A,T10 W2 LA,0.5530,0.2570,0.880,2.9569,215.850,2.0E-05,100,115
T10 ,Tree island,Tree island.L,Tree island.A,2,L,A,T10 L2 LA,0.5708,0.1833,1.075,3.6121,191.439,2.2E-05,100,211
T10 ,Tree island,Tree island.L,Tree island.C,2,L,C,T10 W2 LC,0.8065,0.3745,1.030,3.4609,283.791,1.4E-05,99,115
T10 ,Tree island,Tree island.L,Tree island.C,2,L,C,T10 L2 LC,0.4370,0.2111,0.965,3.2425,165.365,1.5E-06,98,107
T10 ,Tree island,Tree island.L,Tree island.S,2,L,S,T10 W2 LS,0.6816,0.2996,0.970,3.2593,228.148,1.3E-05,100,128
T10 ,Tree island,Tree island.L,Tree island.S,2,L,S,T10 L2 LS,0.3080,0.1404,0.875,2.9401,99.962,1.2E-05,100,119
T10 ,Tree island,Tree island.L,Tree island.A,3,L,A,T10 W3 LA,0.8832,0.4092,0.973,3.2677,202.595,2.1E-05,100,116
T10 ,Tree island,Tree island.L,Tree island.A,3,L,A,T10 L3 LA,0.1319,0.0608,0.950,3.1921,73.417,1.2E-05,100,117
T10 ,Tree island,Tree island.L,Tree island.C,3,L,C,T10 W3 LC,0.7276,0.3426,1.085,3.6457,193.220,2.2E-05,98,112
T10 ,Tree island,Tree island.L,Tree island.C,3,L,C,T10 L3 LC,0.4484,0.2258,1.010,3.3937,179.864,1.6E-05,98,99
T10 ,Tree island,Tree island.L,Tree island.S,3,L,S,T10 W3 LS,0.5074,0.2504,1.043,3.5029,259.212,1.1E-05,100,103
T10 ,Tree island,Tree island.L,Tree island.S,3,L,S,T10 L3 LS,0.6678,0.3090,0.680,2.2848,130.236,4.5E-07,100,116
T10 ,Tree island,Tree island.L,Tree island.A,4,L,A,T10 W4 LA,0.2250,0.1220,0.685,2.3016,101.272,2.1E-05,70,84
T10 ,Tree island,Tree island.L,Tree island.A,4,L,A,T10 L4 LA,0.2786,0.1636,0.890,2.9905,143.542,1.5E-05,85,70
T10 ,Tree island,Tree island.L,Tree island.C,4,L,C,T10 L4 LC,0.7119,0.3441,1.080,3.6289,195.959,4.6E-06,98,107
T10 ,Tree island,Tree island.L,Tree island.C,4,L,C,T10 W4 LC,0.6980,0.3440,1.120,3.7633,222.033,1.5E-05,100,103
T10 ,Tree island,Tree island.L,Tree island.S,4,L,S,T10 L4 LS,0.6302,0.2967,1.165,3.9145,199.638,7.7E-06,98,112
T10 ,Tree island,Tree island.L,Tree island.A,5,L,A,T10 W5 LA,0.3026,0.1686,0.765,2.5704,113.100,2.3E-05,95,79
T10 ,Tree island,Tree island.L,Tree island.C,5,L,C,T10 L5 LC,0.7730,0.3646,1.180,3.9649,285.471,5.2E-06,100,112
T10 ,Tree island,Tree island.L,Tree island.C,5,L,C,T10 W5 LC,0.4150,0.2070,0.928,3.1165,233.734,1.2E-05,60,100
T10 ,Tree island,Tree island.L,Tree island.S,5,L,S,T10 L5 LS,0.7454,0.3776,1.210,4.0657,280.531,6.3E-06,99,97
T10 ,Tree island,Tree island.L,Tree island.S,5,L,S,T10 W5 LS,0.5929,0.2599,0.750,2.5200,209.164,1.2E-05,94,128
T11 ,Tree island,Tree island.L,Tree island.A,1,L,A,T11 W1 LA,0.8334,0.2864,1.110,3.7297,223.780,8.5E-06,98,191
T11 ,Tree island,Tree island.L,Tree island.A,1,L,A,T11 L1 LA,0.3227,0.1398,0.785,2.6376,110.781,1.5E-05,100,131
T11 ,Tree island,Tree island.L,Tree island.C,1,L,C,T11 L1 LC,0.7977,0.3711,0.965,3.2425,155.638,1.3E-05,100,115
T11 ,Tree island,Tree island.L,Tree island.C,1,L,C,T11 W1 LC,1.0036,0.4455,1.300,4.3681,209.668,3.2E-05,98,125
T11 ,Tree island,Tree island.L,Tree island.S,1,L,S,T11 L1 LS,0.4029,0.2070,0.810,2.7216,117.031,1.6E-05,100,95
T11 ,Tree island,Tree island.L,Tree island.S,1,L,S,T11 W1 LS,1.0518,0.4887,1.375,4.6201,281.825,1.6E-05,100,115
T11 ,Tree island,Tree island.L,Tree island.A,2,L,A,T11 L2 LA,0.1965,0.0974,0.720,2.4192,55.643,1.8E-05,100,102
T11 ,Tree island,Tree island.L,Tree island.A,2,L,A,T11 W2 LA,0.2720,0.1297,0.935,3.1417,100.533,1.7E-05,100,110
T11 ,Tree island,Tree island.L,Tree island.C,2,L,C,T11 L2 LC,1.0767,0.5152,1.095,3.6793,154.529,1.9E-05,100,109
T11 ,Tree island,Tree island.L,Tree island.C,2,L,C,T11 W2 LC,0.8338,0.4019,0.965,3.2425,126.456,9.7E-06,100,107
T11 ,Tree island,Tree island.L,Tree island.S,2,L,S,T11 L2 LS,0.6138,0.2467,0.920,3.0913,123.650,1.3E-05,100,149
T11 ,Tree island,Tree island.L,Tree island.S,2,L,S,T11 W2 LS,0.6667,0.3134,1.170,3.9313,204.426,1.0E-05,100,113
T11 ,Tree island,Tree island.L,Tree island.A,3,L,A,T11 L3 LA,0.3935,0.1882,0.730,2.4528,132.454,2.4E-05,100,109
T11 ,Tree island,Tree island.L,Tree island.A,3,L,A,T11 W3 LA,0.6778,0.3073,1.120,3.7633,195.690,1.4E-05,100,121
T11 ,Tree island,Tree island.L,Tree island.C,3,L,C,T11 W3 LC,1.0755,0.4357,1.030,3.4609,134.974,1.1E-04,100,147
T11 ,Tree island,Tree island.L,Tree island.C,3,L,C,T11 L3 LC,0.8593,0.4124,1.000,3.3601,134.402,1.4E-05,100,108
T11 ,Tree island,Tree island.L,Tree island.S,3,L,S,T11 L3 LS,0.2496,0.1390,0.895,3.0073,105.254,1.1E-05,91,80
T11 ,Tree island,Tree island.L,Tree island.S,3,L,S,T11 W3 LS,0.1074,0.0099,0.710,2.3856,88.269,1.4E-05,22,985
T11 ,Tree island,Tree island.L,Tree island.A,4,L,A,T11 L4 LA,0.7336,0.3437,0.985,3.3097,155.554,1.1E-05,100,113
T11 ,Tree island,Tree island.L,Tree island.A,4,L,A,T11 W4 LA,0.4090,0.1782,1.005,3.3769,145.205,2.1E-05,95,130
T11 ,Tree island,Tree island.L,Tree island.C,4,L,C,T11 W4 LC,0.6333,0.3064,1.015,3.4105,208.038,1.4E-05,100,107
T11 ,Tree island,Tree island.L,Tree island.C,4,L,C,T11 L4 LC,0.7581,0.3347,0.780,2.6208,152.009,1.5E-05,100,127
T11 ,Tree island,Tree island.L,Tree island.S,4,L,S,T11 L4 LS,0.1400,0.0644,0.938,3.1501,53.551,4.4E-05,100,117
T11 ,Tree island,Tree island.L,Tree island.S,4,L,S,T11 W4 LS,0.2253,0.0858,0.760,2.5536,102.146,2.4E-05,100,163
T11 ,Tree island,Tree island.L,Tree island.A,5,L,A,T11 W5 LA,0.7341,0.3296,1.280,4.3009,184.938,7.5E-06,100,123
T11 ,Tree island,Tree island.L,Tree island.A,5,L,A,T11 L5 LA,0.2843,0.1243,0.710,2.3856,128.825,1.7E-05,98,129
T11 ,Tree island,Tree island.L,Tree island.C,5,L,C,T11 W5 LC,0.8974,0.4000,1.175,3.9481,228.988,7.9E-06,100,124
T11 ,Tree island,Tree island.L,Tree island.C,5,L,C,T11 L5 LC,0.9317,0.1878,0.935,3.1417,279.607,2.9E-05,100,396
T11 ,Tree island,Tree island.L,Tree island.S,5,L,S,T11 L5 LS,0.3097,0.1191,0.920,3.0913,111.285,2.6E-05,100,160
T11 ,Tree island,Tree island.L,Tree island.S,5,L,S,T11 W5 LS,0.6345,0.2691,1.145,3.8473,192.363,3.8E-06,100,136
T12 ,Tree island,Tree island.L,Tree island.A,1,L,A,T12 L1 LA,0.2872,0.1472,0.770,2.5872,126.775,1.7E-05,39,95
T12 ,Tree island,Tree island.L,Tree island.A,1,L,A,T12 W1 LA,0.6160,0.3047,0.845,2.8393,158.998,2.4E-05,100,102
T12 ,Tree island,Tree island.L,Tree island.C,1,L,C,T12 L1 LC,0.4519,0.2119,0.850,2.8561,131.378,2.1E-05,98,113
T12 ,Tree island,Tree island.L,Tree island.C,1,L,C,T12 W1 LC,0.4009,0.1920,0.940,3.1585,104.229,2.1E-05,97,109
T12 ,Tree island,Tree island.L,Tree island.S,1,L,S,T12 W1 LS,0.3854,0.1882,0.985,3.3097,142.315,3.1E-05,93,105
T12 ,Tree island,Tree island.L,Tree island.S,1,L,S,T12 L1 LS,0.4086,0.1626,0.890,2.9905,143.542,2.9E-05,96,151
T12 ,Tree island,Tree island.L,Tree island.A,2,L,A,T12 L2 LA,0.0350,0.0260,0.400,1.3440,47.041,5.6E-06,83,35
T12 ,Tree island,Tree island.L,Tree island.A,2,L,A,T12 W2 LA,0.2780,0.1038,0.995,3.3433,130.387,5.9E-06,100,168
T12 ,Tree island,Tree island.L,Tree island.C,2,L,C,T12 L2 LC,0.3442,0.1712,0.875,2.9401,123.482,4.2E-05,88,101
T12 ,Tree island,Tree island.L,Tree island.C,2,L,C,T12 W2 LC,0.5516,0.2287,1.025,3.4441,154.983,1.8E-05,93,141
T12 ,Tree island,Tree island.L,Tree island.S,2,L,S,T12 L2 LS,0.7506,0.3426,0.915,3.0745,239.807,2.0E-05,96,119
T12 ,Tree island,Tree island.L,Tree island.S,2,L,S,T12 W2 LS,0.2975,0.1476,1.170,3.9313,98.282,3.1E-05,100,102
T12 ,Tree island,Tree island.L,Tree island.A,3,L,A,T12 W3 LA,0.1699,0.0972,0.837,2.8118,53.425,7.4E-06,100,75
T12 ,Tree island,Tree island.L,Tree island.A,3,L,A,T12 L3 LA,0.2857,0.1587,0.930,3.1249,131.244,3.5E-05,93,80
T12 ,Tree island,Tree island.L,Tree island.C,3,L,C,T12 W3 LC,0.6297,0.3160,1.120,3.7633,195.690,9.2E-06,100,99
T12 ,Tree island,Tree island.L,Tree island.C,3,L,C,T12 L3 LC,0.7231,0.3471,0.935,3.1417,219.916,1.7E-05,99,108
T12 ,Tree island,Tree island.L,Tree island.S,3,L,S,T12 L3 LS,0.7748,0.2818,1.210,4.0657,239.875,1.3E-05,100,175
T12 ,Tree island,Tree island.L,Tree island.S,3,L,S,T12 W3 LS,0.6571,0.2837,1.145,3.8473,269.309,2.6E-05,94,132
T12 ,Tree island,Tree island.L,Tree island.A,4,L,A,T12 W4 LA,0.1802,0.0330,0.770,2.5872,62.094,2.6E-06,96,446
T12 ,Tree island,Tree island.L,Tree island.C,4,L,C,T12 W4 LC,0.6342,0.0885,0.815,2.7384,147.876,2.1E-07,100,617
T12 ,Tree island,Tree island.L,Tree island.C,4,L,C,T12 L4 LC,1.0030,0.4840,1.050,3.5281,296.357,2.1E-05,94,107
T12 ,Tree island,Tree island.L,Tree island.S,4,L,S,T12 L4 LS,0.4303,0.1793,1.015,3.4105,129.597,1.7E-05,100,140
T12 ,Tree island,Tree island.L,Tree island.S,4,L,S,T12 W4 LS,0.5535,0.2120,1.620,5.4433,185.072,2.2E-05,100,161
T12 ,Tree island,Tree island.L,Tree island.A,5,L,A,T12 L5 LA,0.1786,0.0896,0.660,2.2176,97.576,2.4E-05,75,99
T12 ,Tree island,Tree island.L,Tree island.A,5,L,A,T12 W5 LA,0.1925,0.0905,0.520,1.7472,78.625,5.1E-06,91,113
T12 ,Tree island,Tree island.L,Tree island.C,5,L,C,T12 L5 LC,0.5434,0.2544,1.075,3.6121,173.379,3.4E-05,83,114
T12 ,Tree island,Tree island.L,Tree island.C,5,L,C,T12 W5 LC,0.5575,0.2646,0.730,2.4528,132.454,2.5E-05,94,111
T12 ,Tree island,Tree island.L,Tree island.S,5,L,S,T12 W5 LS,0.4186,0.1989,0.685,2.3016,156.512,1.3E-05,100,110
T12 ,Tree island,Tree island.L,Tree island.S,5,L,S,T12 L5 LS,0.2259,0.0959,1.020,3.4273,137.090,1.8E-05,98,136
T14 ,Tree island,Tree island.L,Tree island.A,1,L,A,T14 L1 LA,0.3534,0.1572,1.025,3.4441,158.427,1.9E-05,98,125
T14 ,Tree island,Tree island.L,Tree island.A,1,L,A,T14 W1 LA,0.2616,0.0539,0.810,2.7216,122.474,1.0E-05,100,385
T14 ,Tree island,Tree island.L,Tree island.C,1,L,C,T14 L1 LC,0.6870,0.3378,1.060,3.5617,235.070,3.4E-06,98,103
T14 ,Tree island,Tree island.L,Tree island.C,1,L,C,T14 W1 LC,0.4075,0.1901,0.815,2.7384,131.446,1.3E-05,100,114
T14 ,Tree island,Tree island.L,Tree island.S,1,L,S,T14 L1 LS,0.4642,0.2233,0.950,3.1921,178.755,9.0E-06,98,108
T14 ,Tree island,Tree island.L,Tree island.S,1,L,S,T14 W1 LS,0.1737,0.0835,0.800,2.6880,91.394,5.0E-06,100,108
T14 ,Tree island,Tree island.L,Tree island.A,2,L,A,T14 L2 LA,0.7821,0.3415,1.065,3.5785,254.071,4.6E-06,100,129
T14 ,Tree island,Tree island.L,Tree island.A,2,L,A,T14 W2 LA,0.2546,0.1233,0.790,2.6544,92.906,4.6E-06,97,106
T14 ,Tree island,Tree island.L,Tree island.C,2,L,C,T14 L2 LC,1.0157,0.8434,1.035,3.4777,83.464,4.0E-06,100,20
T14 ,Tree island,Tree island.L,Tree island.C,2,L,C,T14 W2 LC,0.2604,0.1282,0.735,2.4696,88.907,7.7E-06,100,103
T14 ,Tree island,Tree island.L,Tree island.S,2,L,S,T14 W2 LS,0.1690,0.1350,0.440,1.4784,54.702,2.7E-06,100,25
T14 ,Tree island,Tree island.L,Tree island.S,2,L,S,T14 L2 LS,0.9468,0.4306,1.170,3.9313,310.570,1.5E-06,99,120
T14 ,Tree island,Tree island.L,Tree island.A,3,L,A,T14 L3 LA,0.1441,0.0622,0.705,2.3688,59.221,1.5E-05,100,132
T14 ,Tree island,Tree island.L,Tree island.A,3,L,A,T14 W3 LA,0.7702,0.3742,1.100,3.6961,317.862,7.9E-06,93,106
T14 ,Tree island,Tree island.L,Tree island.C,3,L,C,T14 L3 LC,0.7808,0.3619,0.885,2.9737,214.103,1.2E-05,97,116
T14 ,Tree island,Tree island.L,Tree island.C,3,L,C,T14 W3 LC,0.3200,0.1442,0.870,2.9233,122.777,8.5E-06,98,122
T14 ,Tree island,Tree island.L,Tree island.S,3,L,S,T14 L3 LS,0.3316,0.1646,0.765,2.5704,159.368,2.4E-05,100,101
T14 ,Tree island,Tree island.L,Tree island.S,3,L,S,T14 W3 LS,0.3723,0.1731,1.135,3.8137,190.683,5.8E-06,100,115
T14 ,Tree island,Tree island.L,Tree island.A,4,L,A,T14 W4 LA,0.2029,0.0953,0.755,2.5368,60.884,1.3E-05,96,113
T14 ,Tree island,Tree island.L,Tree island.A,4,L,A,T14 L4 LA,0.3764,0.1690,0.940,3.1585,120.021,4.6E-06,100,123
T14 ,Tree island,Tree island.L,Tree island.C,4,L,C,T14 L4 LC,0.6328,0.2910,0.845,2.8393,181.712,1.6E-05,100,117
T14 ,Tree island,Tree island.L,Tree island.C,4,L,C,T14 W4 LC,0.4545,0.2133,1.090,3.6625,113.536,1.9E-05,100,113
T14 ,Tree island,Tree island.L,Tree island.S,4,L,S,T14 W4 LS,0.4838,0.2395,0.845,2.8393,181.712,5.2E-06,100,102
T14 ,Tree island,Tree island.L,Tree island.S,4,L,S,T14 L4 LS,0.2048,0.0876,0.700,2.3520,91.730,1.5E-06,100,134
T14 ,Tree island,Tree island.L,Tree island.A,5,L,A,T14 W5 LA,0.3023,0.1216,0.815,2.7384,104.061,1.1E-05,97,149
T14 ,Tree island,Tree island.L,Tree island.A,5,L,A,T14 L5 LA,0.1333,0.0655,0.530,1.7808,90.822,1.2E-05,100,104
T14 ,Tree island,Tree island.L,Tree island.C,5,L,C,T14 W5 LC,0.3277,0.1517,0.880,2.9569,91.662,1.0E-05,100,116
T14 ,Tree island,Tree island.L,Tree island.C,5,L,C,T14 L5 LC,0.4583,0.0972,0.870,2.9233,125.700,1.5E-05,100,372
T14 ,Tree island,Tree island.L,Tree island.S,5,L,S,T14 L5 LS,0.4444,0.2224,0.860,2.8897,156.041,5.6E-06,96,100
TIS,Tree island,Tree island.L,Tree island.A,1,L,A,TIS W1 LA,0.4244,0.2144,0.890,2.9905,218.303,2.0E-05,84,98
TIS,Tree island,Tree island.L,Tree island.A,1,L,A,TIS L1 LA,1.3007,0.6047,0.915,3.0745,335.116,1.0E-05,9,115
TIS,Tree island,Tree island.L,Tree island.C,1,L,C,TIS L1 LC,0.9003,0.4053,0.905,3.0409,255.432,1.5E-05,70,122
TIS,Tree island,Tree island.L,Tree island.C,1,L,C,TIS W1 LC,1.5002,0.7102,0.865,2.9065,406.903,1.1E-05,100,111
TIS,Tree island,Tree island.L,Tree island.S,1,L,S,TIS W1 LS,0.2605,0.1395,1.335,4.4857,165.970,3.9E-05,100,87
TIS,Tree island,Tree island.L,Tree island.S,1,L,S,TIS L1 LS,1.0029,0.4539,1.020,3.4273,315.308,5.7E-05,10,121
TIS,Tree island,Tree island.L,Tree island.A,2,L,A,TIS W2 LA,0.5636,0.3046,0.946,3.1786,206.610,2.4E-05,15,85
TIS,Tree island,Tree island.L,Tree island.A,2,L,A,TIS L2 LA,0.7131,0.3511,0.975,3.2761,268.637,2.2E-05,82,103
TIS,Tree island,Tree island.L,Tree island.C,2,L,C,TIS W2 LC,1.3285,0.5985,0.885,2.9737,330.075,1.8E-05,100,122
TIS,Tree island,Tree island.L,Tree island.C,2,L,C,TIS L2 LC,0.7879,0.4019,0.830,2.7888,184.064,2.0E-05,94,96
TIS,Tree island,Tree island.L,Tree island.S,2,L,S,TIS W2 LS,0.3275,0.1635,1.225,4.1161,135.830,1.5E-05,100,100
TIS,Tree island,Tree island.L,Tree island.S,2,L,S,TIS L2 LS,0.7591,0.3751,1.105,3.7129,319.306,8.3E-06,90,102
TIS,Tree island,Tree island.L,Tree island.A,3,L,A,TIS W3 LA,0.5370,0.2320,0.960,3.2257,170.960,2.2E-05,96,131
TIS,Tree island,Tree island.L,Tree island.A,3,L,A,TIS L3 LA,0.3780,0.1890,0.730,2.4528,144.718,1.7E-05,83,100
TIS,Tree island,Tree island.L,Tree island.C,3,L,C,TIS W3 LC,0.5250,0.3290,1.165,3.9145,164.408,3.0E-05,95,60
TIS,Tree island,Tree island.L,Tree island.C,3,L,C,TIS L3 LC,0.4348,0.2278,0.770,2.5872,131.950,1.3E-05,75,91
TIS,Tree island,Tree island.L,Tree island.S,3,L,S,TIS W3 LS,0.5628,0.2468,0.940,3.1585,205.300,2.3E-05,95,128
TIS,Tree island,Tree island.L,Tree island.S,3,L,S,TIS L3 LS,0.5090,0.2490,0.880,2.9569,109.404,8.3E-05,59,104
TIS,Tree island,Tree island.L,Tree island.A,4,L,A,TIS W4 LA,0.4277,0.2037,0.871,2.9266,158.037,3.0E-05,94,110
TIS,Tree island,Tree island.L,Tree island.A,4,L,A,TIS L4 LA,0.7125,0.3385,0.945,3.1753,203.216,3.4E-05,61,110
TIS,Tree island,Tree island.L,Tree island.C,4,L,C,TIS L4 LC,0.8426,0.4146,0.985,3.3097,172.102,4.3E-05,75,103
TIS,Tree island,Tree island.L,Tree island.C,4,L,C,TIS W4 LC,0.7015,0.3195,0.965,3.2425,233.457,1.3E-05,96,120
TIS,Tree island,Tree island.L,Tree island.S,4,L,S,TIS L4 LS,0.6424,0.3124,0.910,3.0577,183.459,1.9E-05,85,106
TIS,Tree island,Tree island.L,Tree island.S,4,L,S,TIS W4 LS,1.4910,0.2460,0.988,3.3181,464.528,1.3E-05,97,506
TIS,Tree island,Tree island.L,Tree island.A,5,L,A,TIS W5 LA,0.3229,0.1579,0.975,3.2761,127.766,1.4E-05,77,104
TIS,Tree island,Tree island.L,Tree island.A,5,L,A,TIS L5 LA,0.8188,0.3788,0.960,3.2257,245.150,1.2E-05,95,116
TIS,Tree island,Tree island.L,Tree island.C,5,L,C,TIS W5 LC,1.3696,0.6396,1.021,3.4289,346.323,2.8E-05,96,114
TIS,Tree island,Tree island.L,Tree island.C,5,L,C,TIS W5 LC,0.6366,0.3096,0.940,3.1585,176.874,1.0E-05,98,106
TIS,Tree island,Tree island.L,Tree island.C,5,L,C,TIS L5 LC,0.4594,0.2164,0.895,3.0073,150.363,9.3E-06,94,112
TIS,Tree island,Tree island.L,Tree island.S,5,L,S,TIS W5 LS,0.1346,0.0646,0.920,3.0896,64.881,2.0E-05,52,108
TIS,Tree island,Tree island.L,Tree island.S,5,L,S,TIS L5 LS,0.5351,0.2251,0.900,3.0241,145.155,3.2E-05,92,138
T10 ,Tree island,Tree island.W,Tree island.A,1,W,A,T10 W1 WA,0.2362,0.1142,0.800,2.6880,91.394,2.9E-05,100,107
T10 ,Tree island,Tree island.W,Tree island.A,1,W,A,T10 L1 WA,0.2007,0.1085,0.650,2.1840,82.993,3.5E-05,97,85
T10 ,Tree island,Tree island.W,Tree island.C,1,W,C,T10 L1 WC,0.6036,0.2746,0.865,2.9065,162.761,1.9E-05,98,120
T10 ,Tree island,Tree island.W,Tree island.C,1,W,C,T10 W1 WC,0.6437,0.2997,0.843,2.8309,181.174,3.5E-05,89,115
T10 ,Tree island,Tree island.W,Tree island.S,1,W,S,T10 L1 WS,0.4625,0.1956,1.015,3.4105,208.038,1.0E-05,98,136
T10 ,Tree island,Tree island.W,Tree island.S,1,W,S,T10 W1 WS,0.3547,0.1677,0.688,2.3100,129.362,1.2E-05,98,112
T10 ,Tree island,Tree island.W,Tree island.A,2,W,A,T10 W2 WA,0.2909,0.1459,0.700,2.3520,150.531,1.9E-05,0,99
T10 ,Tree island,Tree island.W,Tree island.A,2,W,A,T10 L2 WA,0.3081,0.1563,0.870,2.9233,140.316,1.8E-05,100,97
T10 ,Tree island,Tree island.W,Tree island.C,2,W,C,T10 W2 WC,0.1755,0.0985,0.578,1.9404,81.498,4.4E-06,2,78
T10 ,Tree island,Tree island.W,Tree island.C,2,W,C,T10 L2 WC,0.7590,0.3508,0.920,3.0913,197.840,9.4E-06,100,116
T10 ,Tree island,Tree island.W,Tree island.S,2,W,S,T10 W2 WS,0.4033,0.1853,0.770,2.5872,162.996,9.9E-06,98,118
T10 ,Tree island,Tree island.W,Tree island.S,2,W,S,T10 L2 WS,0.0470,0.0279,0.789,2.6507,23.856,2.5E-05,100,68
T10 ,Tree island,Tree island.W,Tree island.A,3,W,A,T10 W3 WA,0.6617,0.3937,0.875,2.9401,258.725,4.4E-05,95,68
T10 ,Tree island,Tree island.W,Tree island.A,3,W,A,T10 L3 WA,0.1797,0.0843,0.865,2.9065,75.568,8.3E-06,100,113
T10 ,Tree island,Tree island.W,Tree island.C,3,W,C,T10 W3 WC,0.8453,0.3733,0.825,2.7720,241.168,2.1E-05,93,126
T10 ,Tree island,Tree island.W,Tree island.C,3,W,C,T10 L3 WC,0.1654,0.0750,0.740,2.4864,84.539,4.2E-06,97,121
T10 ,Tree island,Tree island.W,Tree island.S,3,W,S,T10 W3 WS,0.1003,0.0513,0.563,1.8900,47.251,3.4E-05,96,96
