site,zone,zone.aspect,zone.height,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
BLK,Ecotone,Ecotone.W,Ecotone.S,3,W,S,BLK E3 WS,0.2920,0.1598,0.680,2.2848,146.230,9.6E-06,100,83
BLK,Ecotone,Ecotone.W,Ecotone.A,4,W,A,BLK E4 WA,0.3767,0.1740,0.835,2.8056,131.866,1.3E-05,96,116
BLK,Ecotone,Ecotone.W,Ecotone.C,4,W,C,BLK E4 WC,0.3229,0.1557,0.760,2.5536,112.360,7.2E-06,91,107
BLK,Ecotone,Ecotone.W,Ecotone.S,4,W,S,BLK E4 WS,0.1961,0.0902,0.545,1.8312,93.393,7.6E-06,96,117
BLK,Ecotone,Ecotone.W,Ecotone.A,5,W,A,BLK E5 WA,0.2570,0.1385,0.820,2.7552,123.986,6.2E-06,98,86
BLK,Ecotone,Ecotone.W,Ecotone.C,5,W,C,BLK E5 WC,0.3764,0.1612,1.030,3.4609,134.974,2.1E-05,90,133
BLK,Ecotone,Ecotone.W,Ecotone.S,5,W,S,BLK E5 WS,0.1200,0.0560,0.725,2.4360,56.029,1.2E-05,100,114
RA2,Ecotone,Ecotone.W,Ecotone.A,1,W,A,RA2 E1 WA,0.2350,0.1150,0.815,2.7384,106.799,1.1E-05,100,104
RA2,Ecotone,Ecotone.W,Ecotone.C,1,W,C,RA2 E1 WC,0.4040,0.1990,0.885,2.9737,169.498,1.8E-05,95,103
RA2,Ecotone,Ecotone.W,Ecotone.S,1,W,S,RA2 E1 WS,0.2411,0.1181,0.755,2.5368,119.232,1.7E-05,100,104
RA2,Ecotone,Ecotone.W,Ecotone.A,2,W,A,RA2 E2 WA,0.4362,0.2042,1.215,4.0825,138.804,2.3E-05,91,114
RA2,Ecotone,Ecotone.W,Ecotone.C,2,W,C,RA2 E2 WC,0.8584,0.3624,1.040,3.4945,234.129,1.7E-05,93,137
RA2,Ecotone,Ecotone.W,Ecotone.S,2,W,S,RA2 E2 WS,0.3375,0.1565,0.895,3.0073,159.384,3.6E-05,81,116
RA2,Ecotone,Ecotone.W,Ecotone.A,3,W,A,RA2 E3 WA,0.7389,0.3349,1.040,3.4945,272.568,1.9E-05,100,121
RA2,Ecotone,Ecotone.W,Ecotone.C,3,W,C,RA2 E3 WC,0.7005,0.2865,0.915,3.0745,245.956,3.6E-05,36,145
RA2,Ecotone,Ecotone.W,Ecotone.S,3,W,S,RA2 E3 WS,0.4295,0.1985,1.030,3.4609,193.808,1.5E-05,95,116
RA2,Ecotone,Ecotone.W,Ecotone.A,4,W,A,RA2 E4 WA,0.3098,0.1518,0.620,2.0832,143.743,3.3E-05,6,104
RA2,Ecotone,Ecotone.W,Ecotone.C,4,W,C,RA2 E4 WC,0.1980,0.0970,0.745,2.5032,62.581,1.0E-05,96,104
RA2,Ecotone,Ecotone.W,Ecotone.S,4,W,S,RA2 E4 WS,0.1515,0.0805,0.675,2.2680,63.505,5.5E-05,61,88
RA2,Ecotone,Ecotone.W,Ecotone.A,5,W,A,RA2 E5 WA,0.2796,0.1156,1.170,3.9313,129.732,2.2E-05,100,142
RA2,Ecotone,Ecotone.W,Ecotone.C,5,W,C,RA2 E5 WC,1.0041,0.4251,1.130,3.7969,269.578,4.1E-05,85,136
RA2,Ecotone,Ecotone.W,Ecotone.S,5,W,S,RA2 E5 WS,0.3280,0.1810,1.310,4.4017,96.837,4.9E-06,91,81
RID,Ecotone,Ecotone.W,Ecotone.A,1,W,A,RID E1 WA,0.7883,0.3674,0.910,3.0577,244.612,1.1E-05,98,115
RID,Ecotone,Ecotone.W,Ecotone.C,1,W,C,RID E1 WC,0.7459,0.3408,0.805,2.7048,273.190,1.5E-05,100,119
RID,Ecotone,Ecotone.W,Ecotone.A,2,W,A,RID E2 WA,0.4603,0.2129,0.630,2.1168,158.763,5.6E-06,100,116
RID,Ecotone,Ecotone.W,Ecotone.C,2,W,C,RID E2 WC,0.2446,0.1111,0.595,1.9992,75.971,4.7E-06,100,120
RID,Ecotone,Ecotone.W,Ecotone.S,2,W,S,RID E2 WS,0.7601,0.3333,0.655,2.2008,246.494,9.0E-06,100,128
