location,site,type,wind,plotting,year,sample.no,depth,density,swe,htc
Owl: Coastal Fen,OCF,fen,scour,D.2016,2016,22,29,183.41,53.19,0.341
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,25,32,96.23,30.79,0.0851
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,32,36,108.87,39.19,0.0968
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,1,32,113.73,36.39,0.1188
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,33,49,142.83,69.99,0.1224
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,24,34,119.39,40.59,0.1233
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,5,36,124.42,44.79,0.1264
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,16,40,132.97,53.19,0.13
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,2,41,136.56,55.99,0.1337
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,29,44,143.15,62.99,0.1369
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,26,42,139.97,58.79,0.1371
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,30,46,149.1,68.59,0.1421
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,13,36,132.2,47.59,0.1427
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,20,40,139.97,55.99,0.144
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,6,37,136.19,50.39,0.1474
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,10,34,131.74,44.79,0.1501
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,23,42,146.64,61.59,0.1505
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,3,38,139.97,53.19,0.1516
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,27,43,149.74,64.39,0.1533
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,28,53,169.02,89.58,0.1585
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,8,40,146.97,58.79,0.1588
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,15,40,146.97,58.79,0.1588
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,22,41,150.22,61.59,0.1618
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,4,31,135.46,41.99,0.174
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,12,28,129.98,36.39,0.1774
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,7,37,151.32,55.99,0.182
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,14,38,154.71,58.79,0.1852
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,19,34,148.21,50.39,0.1899
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,21,35,151.97,53.19,0.194
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,31,34,152.32,51.79,0.2006
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,18,33,152.7,50.39,0.2077
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,17,34,156.44,53.19,0.2116
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,11,26,139.97,36.39,0.2215
Owl: Spruce Forest,OSF,forest,deposition,C.2016,2016,9,40,174.97,69.99,0.225
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,29,48,174.97,83.98,0.1875
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,28,45,174.19,78.39,0.1982
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,24,32,157.47,50.39,0.2278
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,27,44,190.87,83.98,0.2434
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,13,49,234.24,114.78,0.3292
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,4,47,232.3,109.18,0.3375
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,26,49,239.95,117.58,0.3455
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,23,40,216.96,86.78,0.346
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,21,46,237.35,109.18,0.36
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,33,45,236.4,106.38,0.3651
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,10,48,244.95,117.58,0.3675
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,20,47,244.21,114.78,0.3731
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,22,46,243.43,111.98,0.3787
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,9,48,250.79,120.38,0.3852
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,11,50,268.75,134.37,0.4247
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,14,50,268.75,134.37,0.4247
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,25,50,268.75,134.37,0.4247
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,12,44,254.5,111.98,0.4328
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,19,48,268.28,128.78,0.4408
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,7,42,253.28,106.38,0.4491
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,17,47,268.03,125.98,0.4494
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,18,49,274.23,134.37,0.4512
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,6,51,279.95,142.77,0.4518
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,1,50,279.95,139.97,0.4608
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,31,48,279.95,134.37,0.48
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,5,48,285.78,137.17,0.5002
