site,zone,year,zone.year,depth,density,swe,htc
BLK,bE,2008,2008.bE,62,212.2174852,131.5748408,0.213559044
BLK,bE,2008,2008.bE,82,232.1507311,190.3635995,0.193229571
BLK,bE,2008,2008.bE,67,242.3417202,162.3689525,0.257708593
BLK,bE,2008,2008.bE,66,212.080659,139.9732349,0.200357463
BLK,bE,2008,2008.bE,76,239.4279019,181.9652054,0.221760023
BLK,bE,2008,2008.bE,67,179.6671374,120.376982,0.141647797
BLK,bE,2008,2008.bE,78,161.5075788,125.9759114,0.098319246
BLK,bE,2008,2008.bE,76,202.59284,153.9705584,0.158774928
BLK,cT,2008,2008.cT,10,167.9678819,16.79678819,0.829468355
BLK,cT,2008,2008.cT,4,139.9732349,5.598929397,1.440049228
BLK,cT,2008,2008.cT,6,279.9464699,16.79678819,3.840131274
BLK,cT,2008,2008.cT,10,223.9571759,22.39571759,1.474610409
BLK,cT,2008,2008.cT,9,186.6309799,16.79678819,1.137816674
BLK,cT,2008,2008.cT,7,159.9694114,11.19785879,1.074788928
BLK,cT,2008,2008.cT,11,203.5974326,22.39571759,1.107896626
BLK,cT,2008,2008.cT,11,152.6980745,16.79678819,0.623191852
BLK,cT,2008,2008.cT,8,174.9665437,13.99732349,1.125038459
BLK,cT,2008,2008.cT,11,152.6980745,16.79678819,0.623191852
BLK,cT,2008,2008.cT,10,195.9625289,19.59625289,1.128998594
BLK,cT,2008,2008.cT,20,153.9705584,30.79411169,0.348491913
BLK,cT,2008,2008.cT,7,199.9617642,13.99732349,1.6793577
BLK,cT,2008,2008.cT,20,167.9678819,33.59357638,0.414734178
BLK,cT,2008,2008.cT,11,229.0471117,25.19518229,1.402181667
BLK,cT,2008,2008.cT,12,139.9732349,16.79678819,0.480016409
BLK,cT,2008,2008.cT,9,186.6309799,16.79678819,1.137816674
BLK,cT,2008,2008.cT,14,199.9617642,27.99464699,0.83967885
BLK,cT,2008,2008.cT,12,186.6309799,22.39571759,0.853362505
BLK,cT,2008,2008.cT,9,186.6309799,16.79678819,1.137816674
BLK,cT,2008,2008.cT,14,79.98470568,11.19785879,0.134348616
BLK,cT,2008,2008.cT,22,254.4967908,55.98929397,0.865544239
BLK,cT,2008,2008.cT,15,186.6309799,27.99464699,0.682690004
BLK,cT,2008,2008.cT,20,181.9652054,36.39304108,0.486736639
BLK,cT,2008,2008.cT,13,129.206063,16.79678819,0.377545906
BLK,cT,2008,2008.cT,11,127.2483954,13.99732349,0.432772119
BLK,cT,2008,2008.cT,14,199.9617642,27.99464699,0.83967885
BLK,cT,2008,2008.cT,11,127.2483954,13.99732349,0.432772119
BLK,cT,2008,2008.cT,12,163.3021074,19.59625289,0.653355668
BLK,cT,2008,2008.cT,14,99.9808821,13.99732349,0.209919712
BLK,cT,2008,2008.cT,11,203.5974326,22.39571759,1.107896626
BLK,cT,2008,2008.cT,14,119.9770585,16.79678819,0.302284386
BLK,cT,2008,2008.cT,12,139.9732349,16.79678819,0.480016409
BLK,aF,2009,2009.aF,72,272.170179,195.9625289,0.302479476
BLK,aF,2009,2009.aF,61,217.9911036,132.9745732,0.229031404
BLK,aF,2009,2009.aF,84,174.9665437,146.9718967,0.10714652
BLK,aF,2009,2009.aF,66,339.3290544,223.9571759,0.512915105
BLK,aF,2009,2009.aF,68,288.1801896,195.9625289,0.3590597
BLK,aF,2009,2009.aF,64,131.2249078,83.98394096,0.079104267
BLK,aF,2009,2009.aF,75,195.9625289,146.9718967,0.150533146
BLK,aF,2009,2009.aF,65,288.5602074,187.5641348,0.376623016
BLK,aF,2009,2009.aF,66,201.476626,132.9745732,0.18082261
BLK,aF,2009,2009.aF,63,211.0707511,132.9745732,0.207904023
BLK,aF,2009,2009.aF,58,193.0665309,111.9785879,0.188944095
BLK,aF,2009,2009.aF,66,190.8725931,125.9759114,0.162289545
BLK,aF,2009,2009.aF,67,334.2644416,223.9571759,0.490289833
BLK,aF,2009,2009.aF,67,417.830552,279.9464699,0.766077863
BLK,aF,2009,2009.aF,68,164.674394,111.9785879,0.117243984
BLK,aF,2009,2009.aF,68,216.1351422,146.9718967,0.201971081
BLK,aF,2009,2009.aF,65,206.7297008,134.3743055,0.193303504
BLK,aF,2009,2009.aF,59,189.7942169,111.9785879,0.179498684
BLK,aF,2009,2009.aF,66,267.2216303,176.366276,0.318087508
BLK,aF,2009,2009.aF,64,341.1847602,218.3582465,0.534744843
BLK,aF,2009,2009.aF,63,222.179738,139.9732349,0.230364568
BLK,aF,2009,2009.aF,71,212.9170334,151.1710937,0.187719675
BLK,aF,2009,2009.aF,64,240.5789975,153.9705584,0.26587823
BLK,aF,2009,2009.aF,70,359.9311755,251.9518229,0.544111895
BLK,aF,2009,2009.aF,60,321.9384403,193.1630642,0.507857361
BLK,aF,2009,2009.aF,66,254.4967908,167.9678819,0.288514746
BLK,aF,2009,2009.aF,66,212.080659,139.9732349,0.200357463
BLK,aF,2009,2009.aF,60,214.6256269,128.7753761,0.225714383
BLK,aF,2009,2009.aF,64,174.9665437,111.9785879,0.140629807
BLK,aF,2009,2009.aF,60,209.9598524,125.9759114,0.216007384
BLK,aF,2009,2009.aF,66,195.1142063,128.7753761,0.169582556
BLK,aF,2009,2009.aF,58,217.1998473,125.9759114,0.23913237
BLK,bE,2009,2009.bE,51,279.9464699,142.7726996,0.45178015
BLK,bE,2009,2009.bE,46,267.7748842,123.1764467,0.458278179
BLK,bE,2009,2009.bE,42,233.2887249,97.98126445,0.380965404
BLK,bE,2009,2009.bE,42,279.9464699,117.5775173,0.548590182
BLK,bE,2009,2009.bE,54,254.0255004,137.1737702,0.35132431
BLK,bE,2009,2009.bE,54,274.762276,148.371629,0.411024567
BLK,bE,2009,2009.bE,64,258.0756519,165.1684172,0.305957725
BLK,bE,2009,2009.bE,58,265.46648,153.9705584,0.357222429
BLK,bE,2009,2009.bE,58,265.46648,153.9705584,0.357222429
BLK,bE,2009,2009.bE,51,230.5441517,117.5775173,0.30639761
BLK,bE,2009,2009.bE,48,221.6242886,106.3796585,0.300843618
BLK,bE,2009,2009.bE,53,269.3824521,142.7726996,0.402540948
BLK,bE,2009,2009.bE,52,274.5628839,142.7726996,0.426213933
BLK,bE,2009,2009.bE,64,288.6947971,184.7646701,0.382864651
BLK,bE,2009,2009.bE,68,263.4790305,179.1657407,0.300144598
BLK,bE,2009,2009.bE,60,289.2780189,173.5668113,0.410040684
BLK,bE,2009,2009.bE,80,279.9464699,223.9571759,0.288009846
BLK,bE,2009,2009.bE,84,279.9464699,235.1550347,0.274295091
BLK,bE,2009,2009.bE,76,265.2124451,201.5614583,0.272095611
BLK,bE,2009,2009.bE,76,243.111408,184.7646701,0.228635896
BLK,bE,2009,2009.bE,68,172.9081137,117.5775173,0.129261492
BLK,bE,2009,2009.bE,81,286.8587284,232.35557,0.298674709
BLK,bE,2009,2009.bE,82,293.6023952,240.7539641,0.309067021
BLK,bE,2009,2009.bE,74,276.1634095,204.360923,0.303003665
BLK,bE,2009,2009.bE,83,263.0822247,218.3582465,0.245161488
BLK,bE,2009,2009.bE,114,272.5794575,310.7405816,0.191614656
BLK,bE,2009,2009.bE,134,313.372914,419.9197048,0.215459399
BLK,bE,2009,2009.bE,116,308.9064495,358.3314814,0.241848441
BLK,bE,2009,2009.bE,116,275.1198066,319.1389756,0.191837301
BLK,bE,2009,2009.bE,104,290.7136418,302.3421875,0.238915769
BLK,bE,2009,2009.bE,68,308.7644888,209.9598524,0.41218588
BLK,bE,2009,2009.bE,77,276.3108014,212.7593171,0.291509243
BLK,bE,2009,2009.bE,68,255.2453108,173.5668113,0.28167867
BLK,cT,2009,2009.cT,22,208.6873684,45.91122106,0.581991946
BLK,cT,2009,2009.cT,19,226.9039808,43.11175636,0.796669077
BLK,cT,2009,2009.cT,23,267.7748842,61.58822337,0.916556359
BLK,cT,2009,2009.cT,23,211.7855902,48.71068576,0.573340089
BLK,cT,2009,2009.cT,26,206.7297008,53.74972221,0.483258759
BLK,cT,2009,2009.cT,32,176.7162091,56.54918691,0.286912933
BLK,cT,2009,2009.cT,29,158.3145554,45.91122106,0.254092019
BLK,cT,2009,2009.cT,30,188.4972897,56.54918691,0.348206037
BLK,cT,2009,2009.cT,32,202.9611907,64.94758101,0.378462938
BLK,cT,2009,2009.cT,34,189.3755531,64.38768807,0.310110336
BLK,cT,2009,2009.cT,36,160.1915911,57.66897279,0.209567658
BLK,cT,2009,2009.cT,30,225.8234857,67.74704571,0.499763218
BLK,cT,2009,2009.cT,34,179.4950895,61.02833043,0.278595154
BLK,cT,2009,2009.cT,20,251.9518229,50.39036458,0.933151899
BLK,cT,2009,2009.cT,34,191.0222971,64.94758101,0.315527008
BLK,cT,2009,2009.cT,26,185.195357,48.15079282,0.387823544
BLK,cT,2009,2009.cT,16,199.4618598,31.91389756,0.731049991
BLK,cT,2009,2009.cT,21,205.2940779,43.11175636,0.590039218
BLK,cT,2009,2009.cT,23,189.8767361,43.6716493,0.460853627
BLK,cT,2009,2009.cT,26,204.5762664,53.18982927,0.473243306
BLK,cT,2009,2009.cT,21,225.2902543,47.31095341,0.710579782
BLK,cT,2009,2009.cT,17,227.2506638,38.63261284,0.893117769
BLK,cT,2009,2009.cT,17,184.4353213,31.35400463,0.588283412
BLK,cT,2009,2009.cT,21,221.291019,46.471114,0.685576011
BLK,cT,2009,2009.cT,20,201.5614583,40.31229166,0.597217216
BLK,cT,2009,2009.cT,20,195.9625289,39.19250578,0.564499297
BLK,cT,2009,2009.cT,32,250.2021574,80.06469038,0.575147786
BLK,cT,2009,2009.cT,17,177.8483456,30.23421875,0.54701353
BLK,cT,2009,2009.cT,30,225.8234857,67.74704571,0.499763218
BLK,cT,2009,2009.cT,30,201.5614583,60.46843749,0.39814481
BLK,cT,2009,2009.cT,30,216.4919367,64.94758101,0.459313835
BLK,cT,2009,2009.cT,23,206.916956,47.59089988,0.547282619
BLK,aF,2014,2014.aF,72,233.2887249,167.9678819,0.222229819
BLK,aF,2014,2014.aF,69,227.2029321,156.7700231,0.219951082
BLK,aF,2014,2014.aF,64,166.2182165,106.3796585,0.126918401
BLK,aF,2014,2014.aF,65,202.4228321,131.5748408,0.18533309
BLK,aF,2014,2014.aF,63,173.3001956,109.1791232,0.140153803
BLK,aF,2014,2014.aF,63,159.9694114,100.7807292,0.119420992
BLK,aF,2014,2014.aF,63,173.3001956,109.1791232,0.140153803
BLK,aF,2014,2014.aF,62,194.1564227,120.376982,0.178755397
BLK,aF,2014,2014.aF,58,159.279888,92.38233506,0.128600075
BLK,aF,2014,2014.aF,63,195.5181694,123.1764467,0.178394321
BLK,aF,2014,2014.aF,64,209.9598524,134.3743055,0.202506923
BLK,aF,2014,2014.aF,64,214.334016,137.1737702,0.211032605
BLK,aF,2014,2014.aF,66,186.6309799,123.1764467,0.155156819
BLK,aF,2014,2014.aF,69,215.0313464,148.371629,0.197016132
BLK,aF,2014,2014.aF,70,223.9571759,156.7700231,0.21065863
BLK,aF,2014,2014.aF,68,222.310432,151.1710937,0.21367716
BLK,aF,2014,2014.aF,72,229.4005795,165.1684172,0.214883889
BLK,aF,2014,2014.aF,50,179.1657407,89.58287036,0.188750132
BLK,aF,2014,2014.aF,53,169.0242837,89.58287036,0.158478251
BLK,aF,2014,2014.aF,45,205.2940779,92.38233506,0.275351635
BLK,aF,2014,2014.aF,47,178.6892361,83.98394096,0.199731359
BLK,aF,2014,2014.aF,66,212.080659,139.9732349,0.200357463
BLK,aF,2014,2014.aF,59,189.7942169,111.9785879,0.179498684
BLK,aF,2014,2014.aF,64,201.2115252,128.7753761,0.18598292
BLK,aF,2014,2014.aF,53,211.2803546,111.9785879,0.247622267
BLK,aF,2014,2014.aF,72,217.7361432,156.7700231,0.193586865
BLK,aF,2014,2014.aF,70,219.9579406,153.9705584,0.203202282
BLK,aF,2014,2014.aF,67,213.0935815,142.7726996,0.199256852
BLK,aF,2014,2014.aF,59,189.7942169,111.9785879,0.179498684
BLK,aF,2014,2014.aF,60,205.2940779,123.1764467,0.206513726
BLK,aF,2014,2014.aF,65,198.1159633,128.7753761,0.177530475
BLK,aF,2014,2014.aF,68,205.8429925,139.9732349,0.183193724
BLK,aF,2014,2014.aF,71,189.2595853,134.3743055,0.148321719
BLK,bE,2014,2014.bE,84,233.2887249,195.9625289,0.190482702
BLK,bE,2014,2014.bE,66,233.2887249,153.9705584,0.24243253
BLK,bE,2014,2014.bE,76,239.4279019,181.9652054,0.221760023
BLK,bE,2014,2014.bE,66,222.6846919,146.9718967,0.220894103
BLK,bE,2014,2014.bE,75,261.2833719,195.9625289,0.267614482
BLK,bE,2014,2014.bE,60,233.2887249,139.9732349,0.266675783
BLK,bE,2014,2014.bE,64,262.4498155,167.9678819,0.316417067
BLK,bE,2014,2014.bE,76,294.6804946,223.9571759,0.335920508
BLK,bE,2014,2014.bE,72,291.6109061,209.9598524,0.347234092
BLK,bE,2014,2014.bE,70,259.9502934,181.9652054,0.283811451
BLK,bE,2014,2014.bE,74,302.6448323,223.9571759,0.363900067
BLK,bE,2014,2014.bE,88,270.4028402,237.9544994,0.244279575
BLK,bE,2014,2014.bE,58,193.0665309,111.9785879,0.188944095
BLK,bE,2014,2014.bE,50,195.9625289,97.98126445,0.225799719
BLK,bE,2014,2014.bE,45,186.6309799,83.98394096,0.227563335
BLK,bE,2014,2014.bE,50,181.9652054,90.98260271,0.194694656
BLK,bE,2014,2014.bE,63,277.7246725,174.9665437,0.359944637
BLK,bE,2014,2014.bE,66,275.7048567,181.9652054,0.338604112
BLK,bE,2014,2014.bE,57,245.5670788,139.9732349,0.311037507
BLK,bE,2014,2014.bE,60,279.9464699,167.9678819,0.384013127
BLK,bE,2014,2014.bE,53,211.2803546,111.9785879,0.247622267
BLK,bE,2014,2014.bE,52,236.8777822,123.1764467,0.317243435
BLK,bE,2014,2014.bE,50,195.9625289,97.98126445,0.225799719
BLK,bE,2014,2014.bE,54,254.0255004,137.1737702,0.35132431
BLK,bE,2014,2014.bE,65,228.2640447,148.371629,0.235672544
BLK,bE,2014,2014.bE,66,186.6309799,123.1764467,0.155156819
BLK,bE,2014,2014.bE,65,254.1052573,165.1684172,0.292052733
BLK,bE,2014,2014.bE,70,267.948764,187.5641348,0.301545469
BLK,bE,2014,2014.bE,100,260.350217,260.350217,0.199279772
BLK,bE,2014,2014.bE,84,243.2868131,204.360923,0.207159657
BLK,bE,2014,2014.bE,80,279.9464699,223.9571759,0.288009846
BLK,bE,2014,2014.bE,80,234.4551685,187.5641348,0.202011906
BLK,bE,2014,2014.bE,76,254.1619266,193.1630642,0.249893365
BLK,cT,2014,2014.cT,6,279.9464699,16.79678819,3.840131274
BLK,cT,2014,2014.cT,5,173.5668113,8.678340566,1.771375754
BLK,cT,2014,2014.cT,4,209.9598524,8.398394096,3.240110762
BLK,cT,2014,2014.cT,8,171.4672128,13.71737702,1.080486936
BLK,cT,2014,2014.cT,11,106.6462742,11.19785879,0.318455979
BLK,cT,2014,2014.cT,5,179.1657407,8.958287036,1.887501324
BLK,cT,2014,2014.cT,8,157.4698893,12.59759114,0.911281152
BLK,cT,2014,2014.cT,7,159.9694114,11.19785879,1.074788928
BLK,cT,2014,2014.cT,6,139.9732349,8.398394096,0.960032818
BLK,cT,2014,2014.cT,7,127.9755291,8.958287036,0.687864914
BLK,cT,2014,2014.cT,7,139.9732349,9.798126445,0.822885273
BLK,cT,2014,2014.cT,7,119.9770585,8.398394096,0.604568772
BLK,cT,2014,2014.cT,5,83.98394096,4.199197048,0.414734178
BLK,cT,2014,2014.cT,8,188.9638672,15.11710937,1.312244859
BLK,cT,2014,2014.cT,6,139.9732349,8.398394096,0.960032818
BLK,cT,2014,2014.cT,5,190.3635995,9.518179975,2.130812041
BLK,cT,2014,2014.cT,5,95.18179975,4.759089988,0.53270301
BLK,cT,2014,2014.cT,13,86.13737534,11.19785879,0.16779818
BLK,cT,2014,2014.cT,7,179.9655878,12.59759114,1.360279737
BLK,cT,2014,2014.cT,6,186.6309799,11.19785879,1.70672501
BLK,cT,2014,2014.cT,6,116.6443624,6.998661747,0.666689457
BLK,cT,2014,2014.cT,4,139.9732349,5.598929397,1.440049228
BLK,cT,2014,2014.cT,5,167.9678819,8.398394096,1.65893671
BLK,cT,2014,2014.cT,7,159.9694114,11.19785879,1.074788928
BLK,cT,2014,2014.cT,13,150.7404069,19.59625289,0.513881927
BLK,cT,2014,2014.cT,10,195.9625289,19.59625289,1.128998594
BLK,cT,2014,2014.cT,8,104.9799262,8.398394096,0.405013845
BLK,cT,2014,2014.cT,4,244.9531611,9.798126445,4.410150759
BLK,cT,2014,2014.cT,9,171.0783983,15.39705584,0.956082066
BLK,cT,2014,2014.cT,7,159.9694114,11.19785879,1.074788928
BLK,cT,2014,2014.cT,8,174.9665437,13.99732349,1.125038459
BLK,cT,2014,2014.cT,10,120.376982,12.0376982,0.426024163
BLK,cT,2014,2014.cT,9,161.7468493,14.55721643,0.854626746
LIN,aF,2008,2008.aF,106,253.5364255,268.7486111,0.178288032
LIN,aF,2008,2008.aF,96,271.1981427,260.350217,0.225242075
LIN,aF,2008,2008.aF,83,229.3537343,190.3635995,0.186329179
LIN,aF,2008,2008.aF,114,304.5031778,347.1336226,0.239125636
LIN,aF,2008,2008.aF,76,209.9598524,159.5694878,0.170532145
LIN,aF,2008,2008.aF,120,258.9504846,310.7405816,0.164285616
LIN,aF,2008,2008.aF,122,275.3571835,335.9357638,0.182717574
LIN,aF,2008,2008.aF,120,286.9451316,344.3341579,0.201726896
LIN,aF,2008,2008.aF,114,279.9464699,319.1389756,0.202112172
LIN,aF,2008,2008.aF,104,270.5251944,281.3462022,0.206885202
LIN,aF,2008,2008.aF,134,284.1247754,380.727199,0.177117202
LIN,aF,2008,2008.aF,108,266.9859852,288.344864,0.194044128
LIN,aF,2008,2008.aF,128,288.6947971,369.5293402,0.191432325
LIN,aF,2008,2008.aF,71,200.2997277,142.2128067,0.166130625
LIN,aF,2008,2008.aF,74,219.4175034,162.3689525,0.191274973
LIN,aF,2008,2008.aF,128,271.1981427,347.1336226,0.168931556
LIN,aF,2008,2008.aF,54,238.4729188,128.7753761,0.309621924
LIN,aF,2008,2008.aF,100,291.1443287,291.1443287,0.249209159
LIN,aF,2008,2008.aF,100,240.7539641,240.7539641,0.170409665
LIN,aF,2008,2008.aF,116,299.253123,347.1336226,0.226969094
LIN,aF,2008,2008.aF,90,233.2887249,209.9598524,0.177783855
LIN,aF,2008,2008.aF,71,244.4602976,173.5668113,0.247460368
LIN,aF,2008,2008.aF,90,279.9464699,251.9518229,0.256008752
LIN,aF,2008,2008.aF,83,236.0994324,195.9625289,0.197450903
LIN,aF,2008,2008.aF,63,213.2925485,134.3743055,0.212303986
LIN,aF,2008,2008.aF,90,279.9464699,251.9518229,0.256008752
LIN,aF,2008,2008.aF,53,184.8703103,97.98126445,0.189585798
LIN,aF,2008,2008.aF,148,279.9464699,414.3207754,0.155680998
LIN,aF,2008,2008.aF,63,248.8413065,156.7700231,0.288969314
LIN,aF,2008,2008.aF,104,242.2613682,251.9518229,0.165913728
LIN,aF,2008,2008.aF,91,246.1067867,223.9571759,0.195683009
LIN,aF,2008,2008.aF,102,249.7561643,254.7512876,0.17979582
LIN,aF,2008,2008.aF,108,290.3148576,313.5400463,0.229436284
LIN,aF,2008,2008.aF,118,270.456759,319.1389756,0.182247258
LIN,bE,2008,2008.bE,16,209.9598524,33.59357638,0.810027691
LIN,bE,2008,2008.bE,20,153.9705584,30.79411169,0.348491913
LIN,bE,2008,2008.bE,27,238.4729188,64.38768807,0.619243848
LIN,bE,2008,2008.bE,22,254.4967908,55.98929397,0.865544239
LIN,bE,2008,2008.bE,26,236.8777822,61.58822337,0.63448687
LIN,bE,2008,2008.bE,30,242.6202739,72.78608217,0.576873054
LIN,bE,2008,2008.bE,40,202.9611907,81.18447626,0.30277035
LIN,bE,2008,2008.bE,55,249.406855,137.1737702,0.332507475
LIN,bE,2008,2008.bE,45,267.5044045,120.376982,0.467516229
LIN,bE,2008,2008.bE,22,229.0471117,50.39036458,0.701090834
LIN,bE,2008,2008.bE,58,270.2931433,156.7700231,0.370330426
LIN,bE,2008,2008.bE,48,233.2887249,111.9785879,0.333344729
LIN,bE,2008,2008.bE,22,165.422914,36.39304108,0.365692441
LIN,bE,2008,2008.bE,18,155.5258166,27.99464699,0.395075234
LIN,bE,2008,2008.bE,47,256.1212384,120.376982,0.410336981
LIN,bE,2008,2008.bE,34,164.674394,55.98929397,0.234487967
LIN,bE,2008,2008.bE,13,215.3434384,27.99464699,1.048738627
LIN,bE,2008,2008.bE,18,202.1835616,36.39304108,0.667677145
LIN,bE,2008,2008.bE,22,229.0471117,50.39036458,0.701090834
LIN,bE,2008,2008.bE,33,186.6309799,61.58822337,0.310313638
LIN,bE,2008,2008.bE,39,215.3434384,83.98394096,0.349579542
LIN,bE,2008,2008.bE,52,220.7270243,114.7780526,0.275457755
LIN,bE,2008,2008.bE,45,217.7361432,97.98126445,0.309738983
LIN,bE,2008,2008.bE,43,266.9257038,114.7780526,0.487146591
LIN,bE,2008,2008.bE,40,216.9585141,86.78340566,0.345971827
LIN,bE,2008,2008.bE,77,254.4967908,195.9625289,0.247298354
LIN,bE,2008,2008.bE,40,174.9665437,69.98661747,0.225007692
LIN,bE,2008,2008.bE,47,262.0775463,123.1764467,0.429644345
LIN,bE,2008,2008.bE,58,231.6798371,134.3743055,0.272079497
LIN,bE,2008,2008.bE,49,217.101344,106.3796585,0.282797961
LIN,bE,2008,2008.bE,38,228.3773833,86.78340566,0.40352451
LIN,bE,2008,2008.bE,55,310.4860848,170.7673466,0.515310418
LIN,bE,2008,2008.bE,30,279.9464699,83.98394096,0.768026255
LIN,cT,2008,2008.cT,9,311.0516332,27.99464699,3.160601871
LIN,cT,2008,2008.cT,10,195.9625289,19.59625289,1.128998594
LIN,cT,2008,2008.cT,8,251.9518229,20.15614583,2.332879749
LIN,cT,2008,2008.cT,11,208.6873684,22.95561053,1.163983893
LIN,cT,2008,2008.cT,9,227.0676922,20.4360923,1.684284737
LIN,cT,2008,2008.cT,9,220.8466596,19.87619936,1.593259403
LIN,cT,2008,2008.cT,10,159.5694878,15.95694878,0.74859519
LIN,cT,2008,2008.cT,15,207.1603877,31.07405816,0.841142354
LIN,cT,2008,2008.cT,16,248.452492,39.75239872,1.134263774
LIN,cT,2008,2008.cT,16,258.9504846,41.43207754,1.23214212
LIN,cT,2008,2008.cT,13,114.1320223,14.8371629,0.29459068
LIN,cT,2008,2008.cT,14,169.9674996,23.79544994,0.606667969
LIN,cT,2008,2008.cT,16,187.2142017,29.95427228,0.644028266
LIN,cT,2008,2008.cT,9,248.8413065,22.39571759,2.022785198
LIN,cT,2008,2008.cT,20,212.7593171,42.55186342,0.665417947
LIN,cT,2008,2008.cT,16,188.9638672,30.23421875,0.656122429
LIN,cT,2008,2008.cT,11,111.9785879,12.31764467,0.335138729
LIN,cT,2008,2008.cT,12,116.6443624,13.99732349,0.333344729
LIN,cT,2008,2008.cT,12,170.3007692,20.4360923,0.710557624
LIN,cT,2008,2008.cT,12,170.3007692,20.4360923,0.710557624
LIN,cT,2008,2008.cT,19,144.3934424,27.43475405,0.322618056
LIN,cT,2008,2008.cT,16,139.9732349,22.39571759,0.360012307
LIN,cT,2008,2008.cT,10,145.5721643,14.55721643,0.623022898
LIN,cT,2008,2008.cT,9,158.6363329,14.27726996,0.822072547
LIN,cT,2008,2008.cT,11,193.417561,21.27593171,0.999876705
LIN,cT,2008,2008.cT,11,274.8565341,30.23421875,2.019141601
LIN,cT,2008,2008.cT,8,104.9799262,8.398394096,0.405013845
LIN,cT,2008,2008.cT,13,161.5075788,20.99598524,0.589915478
