Site,Plot,Cage,Species,Year,Live,n
DLS,405,U,S,18,N,1
DLS,406,U,F,16,Y,1
DLS,406,U,F,18,N,2
DLS,406,U,F,18,Y,3
DLS,406,U,S,16,Y,1
DLS,415,C,F,14,Y,5
DLS,406,U,S,18,Y,1
DLS,407,U,NA,NA,NA,1
DLS,408,U,NA,NA,NA,1
DLS,409,U,F,18,N,1
DLS,409,U,S,16,N,1
DLS,415,U,F,13,Y,1
DLS,415,U,F,14,N,2
DLS,415,U,F,14,Y,2
DLS,415,U,F,15,Y,3
DLS,409,U,S,16,Y,1
DLS,409,U,S,18,Y,2
DLS,415,U,S,15,N,1
DLS,415,U,S,15,Y,1
DLS,410,U,F,16,Y,1
DLS,410,U,F,18,N,3
DLS,410,U,F,18,Y,2
DLS,410,U,S,16,Y,1
DLS,410,U,S,18,N,1
DLS,410,U,S,18,Y,1
DLS,417,C,F,14,Y,1
DLS,417,C,F,15,Y,1
DLS,411,U,NA,NA,NA,1
DLS,412,U,NA,NA,NA,1
DLS,417,C,S,15,Y,1
DLS,413,U,F,16,Y,1
DLS,413,U,F,18,N,3
DLS,413,U,S,16,N,1
DLS,413,U,S,18,Y,2
DLS,414,U,NA,NA,NA,1
DLS,418,C,F,14,N,1
DLS,418,C,F,14,Y,3
DLS,418,C,F,15,Y,2
DLS,415,U,F,16,Y,2
DLS,415,U,F,18,N,4
DLS,415,U,S,16,N,2
DLS,415,U,S,16,Y,1
DLS,418,C,S,15,Y,2
DLS,415,U,S,18,N,3
DLS,415,U,S,18,Y,1
DLS,416,U,NA,NA,NA,1
DLS,418,U,F,14,Y,4
DLS,418,U,F,15,N,1
DLS,418,U,F,15,Y,3
DLS,417,U,F,16,Y,1
DLS,417,U,S,18,N,2
DLS,418,U,F,16,Y,2
DLS,418,U,F,17,N,1
DLS,418,U,F,17,Y,1
DLS,418,U,S,15,Y,1
DLS,418,U,F,18,N,4
DLS,418,U,F,18,Y,2
DLS,418,U,S,17,Y,1
DLS,418,U,S,18,N,2
DLS,418,U,S,18,Y,2
DLS,419,U,NA,NA,NA,1
DLS,420,U,NA,NA,NA,1
