site,sow.year,species,plot,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
salp,2016,fir,416,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,417,no,2,seeded,1,0,18,2,1,1,,1,NA,0.111111111,0.9,0.15503876,0.5,0.5,NA,0.5,0.5,20,0.645
salp,2016,fir,418,no,4,seeded.scarified,1,1,18,2,2,2,,2,NA,0.111111111,0.9,0.15503876,1,1,NA,1,0.5,20,0.645
salp,2016,fir,419,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,420,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,454,no,4,seeded.scarified,1,1,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,454,no,4,seeded.scarified,1,1,15,0,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,455,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,455,no,3,scarified,0,1,NA,0,0,NA,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,455,no,3,scarified,0,1,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,456,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,456,no,1,control,0,0,NA,0,0,NA,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,456,no,1,control,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,457,no,2,seeded,1,0,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,457,no,2,seeded,1,0,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,457,no,2,seeded,1,0,15,0,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,458,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,458,no,1,control,0,0,NA,0,0,NA,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,458,no,1,control,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,459,no,4,seeded.scarified,1,1,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,459,no,4,seeded.scarified,1,1,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,459,no,4,seeded.scarified,1,1,15,0,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,460,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,460,no,3,scarified,0,1,NA,0,0,NA,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,460,no,3,scarified,0,1,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.645
sshr,2016,spruce,421,no,4,seeded.scarified,1,1,19,1,1,1,,0,NA,0.052631579,0.95,0.10989011,1,1,NA,0,0,20,0.455
sshr,2017,spruce,421,no,4,seeded.scarified,1,1,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,441,no,2,seeded,1,0,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,421,yes,4,seeded.scarified,1,1,15,5,5,5,,5,,0.333333333,0.75,0.549450549,1,1,NA,1,0,20,0.455
sshr,2017,spruce,421,yes,4,seeded.scarified,1,1,19,1,0,NA,,#REF!,,0.052631579,0.95,0.10989011,0,NA,0,NA,0,20,0.455
scut,2018,spruce,442,no,4,seeded.scarified,1,1,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,422,no,2,seeded,1,0,19,1,1,0,,0,,0.052631579,0.95,0.10989011,1,0,NA,0,0,20,0.455
sshr,2017,spruce,422,no,2,seeded,1,0,20,0,0,NA,,#REF!,,0,1,0,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,443,no,1,control,0,0,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,422,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,422,yes,2,seeded,1,0,20,0,0,NA,,#REF!,,0,1,0,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,444,no,3,scarified,0,1,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,423,no,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,423,no,3,scarified,0,1,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,445,no,4,seeded.scarified,1,1,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,423,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,423,yes,3,scarified,0,1,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,446,no,2,seeded,1,0,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,424,no,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,424,no,1,control,0,0,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
nalp,2016,fir,1701,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1702,yes,4,seeded.scarified,1,1,18,2,2,1,,0,,0.111111111,0.9,0.15503876,1,0.5,NA,0,0,20,0.645
nalp,2016,fir,1703,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1704,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1705,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1706,yes,4,seeded.scarified,1,1,16,4,3,1,,0,,0.25,0.8,0.310077519,0.75,0.25,NA,0,0,20,0.645
